;keywords;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
72;transplantation ethics;0;0;0;0;0;0;0;0;2;1;1;4;0;0.67;0.36;2
73;pediatrics;0;0;0;0;0;1;1;1;0;1;0;4;0;0.5;0.36;1
74;donor;0;0;0;0;0;0;3;0;0;1;0;4;0;0.92;0.36;3
75;ethical;0;0;1;0;0;0;1;0;2;0;0;4;0;0.67;0.36;2
76;transplant medicine;0;0;0;0;0;0;1;3;0;0;0;4;0;0.92;0.36;3
77;definition of death;0;0;0;0;2;0;0;0;0;1;0;3;0;0.65;0.27;2
78;islam;0;0;0;0;1;0;0;1;0;0;1;3;0;0.47;0.27;1
79;organ preservation;0;0;0;0;0;0;2;0;0;1;0;3;0;0.65;0.27;2
80;intellectual disability;0;0;0;0;1;0;1;1;0;0;0;3;0;0.47;0.27;1
81;economics;0;0;0;0;0;0;3;0;0;0;0;3;0;0.9;0.27;3
82;legal;0;0;1;0;0;0;2;0;0;0;0;3;0;0.65;0.27;2
83;law;0;0;0;1;1;0;0;0;0;0;1;3;0;0.47;0.27;1
84;organ trafficking;0;0;0;0;0;0;2;0;0;0;1;3;0;0.65;0.27;2
85;critical care;0;0;0;0;1;0;1;0;0;1;0;3;0;0.47;0.27;1
86;justice;0;0;0;0;1;0;1;0;0;1;0;3;0;0.47;0.27;1
87;harm;0;0;0;0;0;0;0;2;1;0;0;3;0;0.65;0.27;2
88;chronic kidney disease;0;0;0;0;0;0;0;0;0;1;2;3;0;0.65;0.27;2
89;motivation;0;0;0;0;0;1;1;1;0;0;0;3;0;0.47;0.27;1
90;infection and infectious agents;0;0;0;0;0;1;0;1;0;0;1;3;0;0.47;0.27;1
91;organ failure;0;0;0;0;0;0;1;0;2;0;0;3;0;0.65;0.27;2
92;recipient;0;0;0;0;0;0;3;0;0;0;0;3;0;0.9;0.27;3
93;transplant tourism;0;0;0;0;1;0;2;0;0;0;0;3;0;0.65;0.27;2
94;exploitation;0;0;0;0;1;0;0;0;1;0;1;3;0;0.47;0.27;1
95;euthanasia;0;0;0;0;0;0;0;0;0;1;2;3;0;0.65;0.27;2
96;research;0;0;0;0;1;0;0;0;1;0;1;3;0;0.47;0.27;1
97;clinical trial;0;0;0;0;1;1;0;0;0;0;1;3;0;0.47;0.27;1
98;immunosuppression;0;0;0;0;1;0;1;1;0;0;0;3;0;0.47;0.27;1
99;children;0;0;0;0;0;0;0;0;0;1;2;3;0;0.65;0.27;2
100;internet;0;0;0;0;0;0;1;2;0;0;0;3;0;0.65;0.27;2
101;clinical trials;0;0;0;0;0;1;1;0;0;0;1;3;0;0.47;0.27;1
102;organ shortage;0;0;0;0;1;0;1;0;1;0;0;3;0;0.47;0.27;1
103;organ acceptance;0;0;0;0;0;0;0;0;1;0;2;3;0;0.65;0.27;2
104;determination of death;0;0;0;0;0;0;1;1;0;0;1;3;0;0.47;0.27;1
105;disability;0;0;0;0;0;1;0;0;1;1;0;3;0;0.47;0.27;1
106;research ethics;0;0;0;0;0;1;0;0;0;2;0;3;0;0.65;0.27;2
107;clinical trial design;0;0;0;0;0;2;1;0;0;0;0;3;0;0.65;0.27;2
108;donation after cardiac death;0;0;0;0;0;0;2;0;0;0;1;3;0;0.65;0.27;2
109;china;0;0;0;0;0;0;0;1;0;2;0;3;0;0.65;0.27;2
110;transplant waiting list;0;0;0;0;0;3;0;0;0;0;0;3;0;0.9;0.27;3
111;ethique;0;0;0;0;0;0;1;0;1;1;0;3;0;0.47;0.27;1
112;living kidney donation;0;0;0;0;0;1;1;0;0;0;1;3;0;0.47;0.27;1
113;uncertainty;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
114;health economics;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
115;waiting list;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
116;transplantation medicine;0;0;0;0;1;0;0;0;0;0;1;2;0;0.4;0.18;1
117;animal welfare;0;0;0;0;1;0;0;0;0;0;1;2;0;0.4;0.18;1
118;sepsis;0;0;0;0;0;0;0;1;1;0;0;2;0;0.4;0.18;1
119;trauma;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
120;personal responsibility;0;0;0;0;0;0;1;0;0;1;0;2;0;0.4;0.18;1
121;decision making;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
122;reproductive medicine;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
123;islet transplantation;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
124;pediatric transplantation;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
125;psychosocial evaluation;0;0;0;0;1;0;0;1;0;0;0;2;0;0.4;0.18;1
126;obstetrics and gynaecology;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
127;cardiac arrest;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
128;composite tissue allotransplantation;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
129;nurses;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
130;nursing;0;0;0;0;0;0;0;1;1;0;0;2;0;0.4;0.18;1
131;organ transplant;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
132;review;0;0;0;0;0;0;2;0;0;0;0;2;0;0.6;0.18;2
133;ethics consultation;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
134;renal transplant;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
135;public health ethics;0;0;0;0;0;0;1;0;0;0;1;2;0;0.4;0.18;1
136;guidelines;0;0;0;0;0;0;2;0;0;0;0;2;0;0.6;0.18;2
137;hepatology;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
138;resuscitation;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
139;uterus;0;0;0;0;1;0;0;0;0;0;1;2;0;0.4;0.18;1
140;rejection;0;0;0;0;1;0;0;0;0;0;1;2;0;0.4;0.18;1
141;kidney markets;0;0;0;0;0;0;0;2;0;0;0;2;0;0.6;0.18;2
142;end of life care;0;0;0;0;0;0;1;0;0;1;0;2;0;0.4;0.18;1
143;resource allocation;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
144;allograft vasculopathy;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
145;patient survival;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
146;pediatric cardiology;0;0;0;0;1;0;0;1;0;0;0;2;0;0.4;0.18;1
147;head transplantation;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
148;editorial;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
149;stem cells;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
150;ehealth intervention;0;0;0;0;0;0;2;0;0;0;0;2;0;0.6;0.18;2
151;burden of proof;0;0;0;0;0;1;0;1;0;0;0;2;0;0.4;0.18;1
152;solidarity;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
153;organ procurement organization;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
154;privacy;0;0;0;0;0;2;0;0;0;0;0;2;0;0.6;0.18;2
155;patient characteristics;0;0;0;0;0;0;1;0;0;0;1;2;0;0.4;0.18;1
156;public health;0;0;0;0;0;1;0;0;1;0;0;2;0;0.4;0.18;1
157;dialysis;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
158;functional status;0;0;0;0;0;1;0;1;0;0;0;2;0;0.4;0.18;1
159;lung transplant;0;0;0;0;0;1;0;0;1;0;0;2;0;0.4;0.18;1
160;mesenchymal stem cells;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
161;altruistic organ donation;0;0;0;0;0;2;0;0;0;0;0;2;0;0.6;0.18;2
162;aging;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
163;personal identity;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
164;liver disease;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
165;theology;0;0;0;0;0;2;0;0;0;0;0;2;0;0.6;0.18;2
166;qualitative methods;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
167;financial incentives;0;0;0;0;0;2;0;0;0;0;0;2;0;0.6;0.18;2
168;bone marrow transplantation;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
169;empirical ethics;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
170;muerte encefalica;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
171;donacion de organos;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
172;vascularized composite allotransplantation;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
173;kidney failure;0;0;0;0;0;1;0;0;1;0;0;2;0;0.4;0.18;1
174;waitlist management;0;0;0;0;0;0;0;1;0;0;1;2;0;0.4;0.18;1
175;adult;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
176;reconstructive surgery;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
177;tissue and organ procurement;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
178;commodification;0;0;0;0;0;0;0;1;1;0;0;2;0;0.4;0.18;1
179;split liver transplantation;0;0;0;0;0;0;2;0;0;0;0;2;0;0.6;0.18;2
180;living organ donation;0;0;0;0;0;0;0;0;1;0;1;2;0;0.4;0.18;1
181;ethical issues;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
182;safety;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
183;ethical considerations;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
184;personal viewpoint;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
185;apoptosis;0;0;0;0;1;0;0;0;0;0;1;2;0;0.4;0.18;1
186;regulatory t cells;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
187;uterine transplantation;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
188;organ transplants;0;0;0;0;0;0;0;1;0;0;1;2;0;0.4;0.18;1
189;intensive care unit;0;0;0;0;0;0;1;0;0;0;1;2;0;0.4;0.18;1
190;alcoholism;0;0;0;0;0;0;0;1;1;0;0;2;0;0.4;0.18;1
191;persons;0;0;0;0;0;1;0;0;1;0;0;2;0;0.4;0.18;1
192;south africa;0;0;0;0;0;1;0;0;1;0;0;2;0;0.4;0.18;1
193;exercise;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
194;titmuss;0;0;0;0;0;2;0;0;0;0;0;2;0;0.6;0.18;2
195;payment;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
196;inflammation;0;0;0;0;0;0;0;1;0;0;1;2;0;0.4;0.18;1
197;controversies;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
198;vouchers;0;0;0;0;0;0;0;2;0;0;0;2;0;0.6;0.18;2
199;don;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
200;advanced donation;0;0;0;0;0;0;0;2;0;0;0;2;0;0.6;0.18;2
201;patient safety;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
202;systematic review;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
203;heart;0;0;0;0;1;0;0;1;0;0;0;2;0;0.4;0.18;1
204;critical illness;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
205;cystic fibrosis;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
206;donors;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
207;fertility preservation;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
208;philosophical ethics;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
209;etica;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
210;trasplante;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
211;organ donor;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
212;liver;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
213;best interests;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
214;ninos;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
215;circulatory death;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
216;graft size;0;0;1;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
217;culture;0;0;0;0;1;0;0;0;0;1;0;2;0;0.4;0.18;1
218;muslim;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
219;liberty;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
220;living donor liver transplantation;0;0;1;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
221;killing;0;0;0;1;0;1;0;0;0;0;0;2;0;0.4;0.18;1
222;outcome;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
223;perfusion;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
224;organ sales;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
225;withholding and withdrawal of life sustaining measures;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
226;intensive care medicine;0;0;0;0;1;0;0;0;0;1;0;2;0;0.4;0.18;1
227;emergency medicine;0;0;0;1;1;0;0;0;0;0;0;2;0;0.4;0.18;1
228;tissue engineering;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
229;psychology;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
230;organ donation and transplantation;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
231;iran;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
232;induced pluripotent stem cells;0;1;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
233;social justice;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
234;surrogate consent;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
235;donation after the circulatory determination of death;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
236;anencephaly;0;1;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
237;nerve regeneration;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
238;newborns;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
239;neural regeneration;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
240;microbiology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
241;confrerie saint come;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
242;golden legend;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
243;anargyroi;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
244;musculoskeletal tissue;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
245;saints cosmas and damian;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
246;metformin;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
247;procurement;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
248;tissue donation;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
249;guild;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
250;above elbow transplant;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
251;protocol;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
252;randomised controlled trial;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
253;transhumeral hand transplant;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
254;erectile function;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
255;mesenchymal stromal cells;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
256;tissue safety;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
257;incentives;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
258;cartilage allograft;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
259;kidney voucher;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
260;prevention;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
261;qatar;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
262;paired kidney exchange;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
263;nodat;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
264;unrelated donors;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
265;social media;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
266;do not resuscitate;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
267;dignity;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
268;dignity as a constraint;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
269;markets;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
270;dignity as empowerment;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
271;organ markets;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
272;organ selling;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
273;allograft;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
274;miracle of the black leg;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
275;ptdm;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
276;bone;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
277;penis;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
278;stem cell therapy;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
279;brain criterion of death;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
280;declaration of sydney;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
281;frontiers in surgery;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
282;vascularized composite allografts reconstructive transplant surgery;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
283;anonymous live liver donation;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
284;acute kidney injury;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
285;live births;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
286;hemodynamics;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
287;mullerian agenesis;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
288;laparoscopy;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
289;lipocalins;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
290;nephrectomy;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
291;harvard report;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
292;mscs;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
293;world medical association;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
294;narrative;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
295;social death;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
296;social isolation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
297;conscientious objection;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
298;professionalism;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
299;communication;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
300;interview;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
301;mortality;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
302;narrative ethics;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
303;positive psychology;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
304;transplant recipients;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
305;adecuacion de medidas terapeuticas;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
306;transplant outcomes;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
307;prisoners;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
308;australia;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
309;adolescent;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
310;acute respiratory distress syndrome;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
311;anxiety;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
312;ards;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
313;resources;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
314;vascularized composite allotransplant;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
315;neonatos;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
