;coi_lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
80;service;0;0;0;0;0;0;0;0;0;3;0;3;0;0.9;0.27;3
81;manuscript;0;0;0;0;0;0;1;0;2;0;0;3;0;0.65;0.27;2
82;funding;0;0;0;0;0;0;0;1;0;0;2;3;0;0.65;0.27;2
83;transplantation;0;0;0;0;0;0;1;0;1;0;1;3;0;0.47;0.27;1
84;investigator;0;0;0;0;0;0;0;0;0;0;3;3;0;0.9;0.27;3
85;financial;0;0;0;0;0;0;0;1;1;0;1;3;0;0.47;0.27;1
86;uk;0;0;0;0;0;0;0;3;0;0;0;3;0;0.9;0.27;3
87;prior;0;0;0;0;0;0;0;0;0;0;3;3;0;0.9;0.27;3
88;guideline;0;0;0;0;0;0;1;2;0;0;0;3;0;0.65;0.27;2
89;statement;0;0;0;0;0;0;1;0;2;0;0;3;0;0.65;0.27;2
90;involve;0;0;0;0;0;0;0;1;0;1;1;3;0;0.47;0.27;1
91;exist;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
92;form;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
93;quebec;0;0;0;0;0;0;0;2;0;0;0;2;0;0.6;0.18;2
94;salary;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
95;chs;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
96;need;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
97;waive;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
98;etac;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
99;reference;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
100;dutch;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
101;accord;0;0;0;0;0;0;0;0;1;0;1;2;0;0.4;0.18;1
102;chair;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
103;rm;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
104;ab;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
105;participant;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
106;perform;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
107;bcjmf;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
108;tohoku;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
109;professor;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
110;australian;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
111;qiagen;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
112;rc;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
113;inform;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
114;roche;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
115;unrestricted;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
116;give;0;0;0;0;0;0;0;2;0;0;0;2;0;0.6;0.18;2
117;compliance;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
118;therapeutic;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
119;downar;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
120;design;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
121;finland;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
122;academy;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
123;follow;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
124;take;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
125;use;0;0;0;0;0;0;0;1;0;0;1;2;0;0.4;0.18;1
126;gastroenterological;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
127;physician;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
128;undertake;0;0;0;0;0;0;0;1;0;0;1;2;0;0.4;0.18;1
129;detail;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
130;product;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
131;care;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
132;novartis;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
133;outside;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
134;organisation;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
135;phillipa;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
136;health;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
137;malpas;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
138;submit;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
139;nr;0;0;0;0;0;0;0;0;0;2;0;2;0;0.6;0.18;2
140;abk;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
141;boehringer;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
142;provincial;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
143;reporting;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
144;ardea;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
145;biosciences;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
146;dyt;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
147;analysis;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
148;ingelheim;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
149;evidera;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
150;caballeta;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
151;james;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
152;new;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
153;hg;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
154;territorial;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
155;smg;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
156;bf;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
157;mlr;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
158;clalit;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
159;cb;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
160;ym;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
161;hm;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
162;develop;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
163;video;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
164;intervention;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
165;government;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
166;project;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
167;construct;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
168;previous;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
169;founder;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
170;shemie;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
171;recipient;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
172;primarily;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
173;nephrologist;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
174;goldberg;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
175;aviva;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
176;gruben;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
177;vanessa;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
178;sam;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
179;kantar;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
180;assistance;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
181;legalization;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
182;cellectis;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
183;dignity;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
184;neximmune;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
185;stock;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
186;ownership;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
187;family;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
188;hus;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
189;zealand;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
190;operative;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
191;scientific;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
192;nf;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
193;torque;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
194;ontario;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
195;applicable.dhj;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
196;037/2015).not;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
197;037/2015;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
198;mana;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
199;study.not;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
200;include;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
201;write;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
202;college;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
203;review;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
204;6/13/03/02/2016;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
205;dnro;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
206;jc;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
207;icmje;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
208;nzaic;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
209;principal;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
210;notto;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
211;certification;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
212;l'auteur;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
213;n'a;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
214;turunen;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
215;martti;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
216;ehrnrooth;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
217;georg;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
218;aucun;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
219;mary;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
220;tutkimussaatio;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
221;vatsatautien;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
222;vs;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
223;conflit;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
224;d'interets;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
225;en;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
226;relation;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
227;avec;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
228;cet;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
229;organization;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
230;tissue;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
231;surgical;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
232;vantaa;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
233;refer;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
234;pertain;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
235;317061;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
236;researcher;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
237;clinical;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
238;stv;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
239;astella;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
240;non;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
241;city;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
242;content;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
243;participateconflict;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
244;picture;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
245;purpose;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
246;lecturing;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
247;cancer;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
248;department;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
249;lakaresallskapet;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
250;finska;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
251;trial;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
252;orion;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
253;1928t2z;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
254;rw;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
255;notre;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
256;remercier;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
257;tenon;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
258;nous;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
259;ngo;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
260;director;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
261;intellectual;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
262;wr;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
263;contributor;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
264;accompany;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
265;occasional;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
266;mpr;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
267;harvesting;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
268;force;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
269;property;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
270;doctor;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
271;mfs;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
272;w;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
273;bb;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
274;tutrice;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
275;nathalie;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
276;koch;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
277;sponsor;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
278;pr;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
279;pg;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
280;al;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
281;recherche;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
282;cette;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
283;cadre;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
284;malaghan;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
285;charitable;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
286;le;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
287;ainsi;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
288;dans;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
289;pl;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
290;interviewee;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
291;personnes;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
292;proprietary;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
293;les;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
294;toutes;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
295;que;0;0;0;0;0;0;0;0;0;0;1;1;0;0.3;0.09;1
296;expert;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
297;clinic;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
298;00500).not;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
299;provide;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
300;confirm;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
301;innsbruck;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
302;represent;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
303;view;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
304;british;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
305;ds;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
306;nhs;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
307;donation;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
308;lead;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
309;deputy;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
310;dg;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
311;laboratory;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
312;lu;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
313;qiang;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
314;yuan;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
315;hong;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
316;jie;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
317;liang;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
318;fang;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
319;wen;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
320;jiang;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
321;retrospective;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
322;observational;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
323;require;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
324;welfare;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
325;l'universite;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
326;hospitalier;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
327;centre;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
328;publication.the;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
329;submission;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
330;exit;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
331;wydw2016-0224.no;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
332;wenzhou;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
