;journal;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
32;jama;1;2;0;1;0;2;1;1;0;1;1;10;0;0.7;0.91;2
33;bmj (clinical research ed.);0;4;2;2;0;1;1;0;0;0;0;10;0;1.3;0.91;4
34;nursing ethics;1;1;0;0;1;1;1;0;1;4;0;10;0;1.14;0.91;4
35;experimental and clinical transplantation : official journal of the middle east society for organ transplantation;0;2;0;1;1;1;1;1;1;0;1;9;0;0.6;0.82;2
36;saudi journal of kidney diseases and transplantation : an official publication of the saudi center for organ transplantation, saudi arabia;2;0;2;1;1;0;1;0;1;0;1;9;0;0.75;0.82;2
37;intensive care medicine;2;0;0;0;1;3;1;0;0;2;0;9;0;1.08;0.82;3
38;critical care medicine;6;2;0;1;0;0;0;0;0;0;0;9;0;1.83;0.82;6
39;the annals of thoracic surgery;0;2;0;0;1;0;3;1;0;2;0;9;0;1.08;0.82;3
40;radiology;0;2;0;2;1;2;2;0;0;0;0;9;0;0.98;0.82;2
41;the virtual mentor : vm;0;0;8;0;0;0;0;0;0;0;0;8;0;2.41;0.73;8
42;world journal of gastroenterology;0;1;2;1;0;0;2;0;2;0;0;8;0;0.9;0.73;2
43;annals of internal medicine;3;0;0;3;0;0;1;0;0;0;0;7;0;1.21;0.64;3
44;revue medicale suisse;0;0;0;1;1;1;2;0;0;0;2;7;0;0.81;0.64;2
45;la clinica terapeutica;0;0;0;2;1;2;1;1;0;0;0;7;0;0.81;0.64;2
46;medizinische klinik, intensivmedizin und notfallmedizin;0;0;1;0;1;1;0;0;0;4;0;7;0;1.21;0.64;4
47;the journal of law, medicine & ethics : a journal of the american society of law, medicine & ethics;0;0;1;0;0;0;1;1;2;2;0;7;0;0.81;0.64;2
48;monash bioethics review;0;0;0;0;1;2;1;1;1;1;0;7;0;0.67;0.64;2
49;advances in chronic kidney disease;0;1;5;0;0;0;0;0;0;0;0;6;0;1.51;0.55;5
50;anesthesia and analgesia;4;0;0;0;0;1;0;0;0;1;0;6;0;1.21;0.55;4
51;the new bioethics : a multidisciplinary journal of biotechnology and the body;0;0;0;2;1;0;0;1;0;1;1;6;0;0.69;0.55;2
52;theoretical medicine and bioethics;0;1;0;1;1;0;1;0;1;1;0;6;0;0.52;0.55;1
53;plos one;0;0;0;1;0;0;1;1;1;2;0;6;0;0.69;0.55;2
54;bone marrow transplantation;1;4;0;0;0;0;0;0;0;0;0;5;0;1.21;0.45;4
55;nefrologia : publicacion oficial de la sociedad espanola nefrologia;3;1;1;0;0;0;0;0;0;0;0;5;0;0.93;0.45;3
56;annali dell'istituto superiore di sanita;0;0;0;0;0;0;0;2;1;2;0;5;0;0.82;0.45;2
57;transplantation reviews (orlando, fla.);0;0;0;0;1;0;0;0;1;2;1;5;0;0.69;0.45;2
58;science (new york, n.y.);0;0;0;1;1;2;1;0;0;0;0;5;0;0.69;0.45;2
59;transplantation direct;0;0;0;0;0;0;2;0;1;0;2;5;0;0.82;0.45;2
60;fertility and sterility;1;0;0;2;1;0;0;0;1;0;0;5;0;0.69;0.45;2
61;journal of the national medical association;3;0;1;0;0;0;0;0;0;1;0;5;0;0.93;0.45;3
62;"soins; la revue de reference infirmiere";0;0;1;0;0;0;0;0;2;2;0;5;0;0.82;0.45;2
63;perspectives in biology and medicine;1;0;2;0;0;1;0;1;0;0;0;5;0;0.69;0.45;2
64;developing world bioethics;0;0;1;0;0;1;1;0;2;0;0;5;0;0.69;0.45;2
65;world journal of surgery;1;0;0;0;3;0;0;0;0;1;0;5;0;0.93;0.45;3
66;european journal of health law;2;0;0;1;0;1;1;0;0;0;0;5;0;0.69;0.45;2
67;methods in molecular biology (clifton, n.j.);0;0;1;0;0;0;0;2;0;1;1;5;0;0.69;0.45;2
68;south african medical journal = suid-afrikaanse tydskrif vir geneeskunde;0;0;0;0;0;0;0;2;0;1;2;5;0;0.82;0.45;2
69;journal of religion and health;0;1;0;0;0;0;0;0;2;0;2;5;0;0.82;0.45;2
70;internal medicine journal;1;0;1;0;0;0;1;1;0;0;1;5;0;0.52;0.45;1
71;sociology of health & illness;0;0;0;0;0;2;0;0;0;1;1;4;0;0.67;0.36;2
72;pediatric nephrology (berlin, germany);0;0;0;0;0;2;1;0;0;1;0;4;0;0.67;0.36;2
73;journal of the american college of cardiology;0;0;0;0;0;0;0;0;2;0;2;4;0;0.81;0.36;2
74;science and engineering ethics;0;0;0;0;0;0;1;0;2;1;0;4;0;0.67;0.36;2
75;trials;0;0;0;0;1;0;1;0;1;0;1;4;0;0.5;0.36;1
76;the new zealand medical journal;0;0;0;1;0;1;0;0;2;0;0;4;0;0.67;0.36;2
77;social science & medicine (1982);1;1;0;1;0;0;0;0;1;0;0;4;0;0.5;0.36;1
78;the journal of craniofacial surgery;0;0;3;0;0;0;0;0;1;0;0;4;0;0.92;0.36;3
79;lakartidningen;0;0;1;1;1;0;0;1;0;0;0;4;0;0.5;0.36;1
80;the new england journal of medicine;0;0;1;3;0;0;0;0;0;0;0;4;0;0.92;0.36;3
81;nature;0;0;1;1;0;0;0;0;1;1;0;4;0;0.5;0.36;1
82;kidney international;0;0;1;0;1;0;0;0;0;2;0;4;0;0.67;0.36;2
83;surgery;0;1;0;0;1;0;1;0;1;0;0;4;0;0.5;0.36;1
84;bjog : an international journal of obstetrics and gynaecology;0;0;0;0;0;0;2;0;1;1;0;4;0;0.67;0.36;2
85;swiss medical weekly;1;1;0;0;0;0;0;1;1;0;0;4;0;0.5;0.36;1
86;nephrologie & therapeutique;1;1;2;0;0;0;0;0;0;0;0;4;0;0.67;0.36;2
87;chest;1;0;0;0;0;0;1;2;0;0;0;4;0;0.67;0.36;2
88;critical care (london, england);0;0;0;1;1;1;0;0;1;0;0;4;0;0.5;0.36;1
89;clinical medicine (london, england);1;0;1;1;1;0;0;0;0;0;0;4;0;0.5;0.36;1
90;british journal of hospital medicine (london, england : 2005);2;0;0;1;0;0;0;0;1;0;0;4;0;0.67;0.36;2
91;der nervenarzt;0;0;0;0;0;0;4;0;0;0;0;4;0;1.21;0.36;4
92;nature reviews. nephrology;1;0;1;0;0;0;0;0;0;0;1;3;0;0.47;0.27;1
93;medicine, science, and the law;1;1;0;0;0;0;1;0;0;0;0;3;0;0.47;0.27;1
94;nephrology nursing journal : journal of the american nephrology nurses' association;1;0;0;0;1;1;0;0;0;0;0;3;0;0.47;0.27;1
95;presse medicale (paris, france : 1983);0;1;0;1;0;0;0;0;1;0;0;3;0;0.47;0.27;1
96;the journal of surgical research;0;0;1;2;0;0;0;0;0;0;0;3;0;0.65;0.27;2
97;journal of health politics, policy and law;0;2;0;0;0;1;0;0;0;0;0;3;0;0.65;0.27;2
98;cornea;0;0;0;0;0;0;0;1;1;0;1;3;0;0.47;0.27;1
99;kennedy institute of ethics journal;0;0;0;1;0;0;0;1;0;1;0;3;0;0.47;0.27;1
100;the journal of urology;0;0;0;0;0;1;0;2;0;0;0;3;0;0.65;0.27;2
101;seminars in dialysis;0;0;2;0;1;0;0;0;0;0;0;3;0;0.65;0.27;2
102;journal of the intensive care society;0;0;0;0;0;0;0;0;1;2;0;3;0;0.65;0.27;2
103;lege artis medicinae : uj magyar orvosi hirmondo;0;0;0;0;2;1;0;0;0;0;0;3;0;0.65;0.27;2
104;"revista de investigacion clinica; organo del hospital de enfermedades de la nutricion";0;3;0;0;0;0;0;0;0;0;0;3;0;0.9;0.27;3
105;nephrology (carlton, vic.);0;0;1;1;0;0;0;0;1;0;0;3;0;0.47;0.27;1
106;asaio journal (american society for artificial internal organs : 1992);0;1;0;0;0;0;0;1;1;0;0;3;0;0.47;0.27;1
107;hec forum : an interdisciplinary journal on hospitals' ethical and legal issues;1;0;0;0;0;0;1;0;0;1;0;3;0;0.47;0.27;1
108;wiadomosci lekarskie (warsaw, poland : 1960);0;0;0;0;0;0;2;0;0;1;0;3;0;0.65;0.27;2
109;journal of plastic, reconstructive & aesthetic surgery : jpras;0;0;0;0;1;0;0;1;0;1;0;3;0;0.47;0.27;1
110;cell and tissue banking;1;1;0;0;0;0;0;0;0;0;1;3;0;0.47;0.27;1
111;jornal brasileiro de nefrologia : 'orgao oficial de sociedades brasileira e latino-americana de nefrologia;0;0;1;0;0;0;0;1;0;1;0;3;0;0.47;0.27;1
112;the medical journal of australia;0;1;0;0;0;0;0;0;1;0;1;3;0;0.47;0.27;1
113;clinical trials (london, england);0;0;0;0;0;0;1;0;0;2;0;3;0;0.65;0.27;2
114;ajob empirical bioethics;0;0;0;0;0;0;0;1;0;0;2;3;0;0.65;0.27;2
115;liver international : official journal of the international association for the study of the liver;0;0;0;0;0;0;0;3;0;0;0;3;0;0.9;0.27;3
116;journal of bioethical inquiry;0;0;0;1;1;0;1;0;0;0;0;3;0;0.47;0.27;1
117;medicine;0;0;0;0;1;0;0;1;1;0;0;3;0;0.47;0.27;1
118;health care analysis : hca : journal of health philosophy and policy;1;0;0;0;0;1;0;0;1;0;0;3;0;0.47;0.27;1
119;current opinion in critical care;0;0;1;1;0;1;0;0;0;0;0;3;0;0.47;0.27;1
120;american journal of law & medicine;1;0;0;0;0;0;1;0;1;0;0;3;0;0.47;0.27;1
121;journal of cystic fibrosis : official journal of the european cystic fibrosis society;0;0;0;0;0;0;0;0;0;3;0;3;0;0.9;0.27;3
122;harefuah;0;0;0;0;3;0;0;0;0;0;0;3;0;0.9;0.27;3
123;nephrology, dialysis, transplantation : official publication of the european dialysis and transplant association - european renal association;1;0;1;0;1;0;0;0;0;0;0;3;0;0.47;0.27;1
124;anesthesiology clinics;0;0;0;1;0;0;0;0;0;0;2;3;0;0.65;0.27;2
125;hepatology (baltimore, md.);1;0;0;0;0;0;0;0;0;1;1;3;0;0.47;0.27;1
126;world journal for pediatric & congenital heart surgery;0;0;0;1;2;0;0;0;0;0;0;3;0;0.65;0.27;2
127;current opinion in anaesthesiology;1;0;1;0;1;0;0;0;0;0;0;3;0;0.47;0.27;1
128;journal of minimally invasive gynecology;0;0;0;0;0;1;0;0;2;0;0;3;0;0.65;0.27;2
129;giornale italiano di nefrologia : organo ufficiale della societa italiana di nefrologia;0;0;0;1;0;0;0;0;1;1;0;3;0;0.47;0.27;1
130;the linacre quarterly;0;0;0;0;0;0;0;0;0;2;1;3;0;0.65;0.27;2
131;canadian journal of anaesthesia = journal canadien d'anesthesie;0;0;0;0;0;0;0;0;1;2;0;3;0;0.65;0.27;2
132;annals of the royal college of surgeons of england;1;1;0;0;1;0;0;0;0;0;0;3;0;0.47;0.27;1
133;medecine sciences : m/s;3;0;0;0;0;0;0;0;0;0;0;3;0;0.9;0.27;3
134;journal of critical care;0;0;0;0;2;0;0;0;1;0;0;3;0;0.65;0.27;2
135;circulation. heart failure;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
136;hepatobiliary & pancreatic diseases international : hbpd int;0;0;1;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
137;canadian journal of kidney health and disease;0;0;0;0;1;0;0;0;0;1;0;2;0;0.4;0.18;1
138;european urology focus;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
139;journal of evaluation in clinical practice;0;0;0;0;1;0;0;0;1;0;0;2;0;0.4;0.18;1
140;alcohol and alcoholism (oxford, oxfordshire);0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
141;health policy (amsterdam, netherlands);0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
142;heart, lung & circulation;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
143;annales francaises d'anesthesie et de reanimation;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
144;journal of cardiothoracic and vascular anesthesia;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
145;cmaj : canadian medical association journal = journal de l'association medicale canadienne;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
146;annals of emergency medicine;0;0;0;0;1;0;1;0;0;0;0;2;0;0.4;0.18;1
147;nursing standard (royal college of nursing (great britain) : 1987);0;0;1;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
148;abdominal radiology (new york);0;0;0;0;0;0;0;1;1;0;0;2;0;0.4;0.18;1
149;journal of clinical medicine;0;0;0;0;0;0;0;0;1;0;1;2;0;0.4;0.18;1
150;psychosomatics;0;0;1;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
151;international journal of gynaecology and obstetrics: the official organ of the international federation of gynaecology and obstetrics;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
152;the yale journal of biology and medicine;0;0;0;1;0;0;0;0;0;0;1;2;0;0.4;0.18;1
153;journal of the american heart association;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
154;journal of forensic and legal medicine;0;0;0;1;0;0;0;0;0;1;0;2;0;0.4;0.18;1
155;revue de stomatologie, de chirurgie maxillo-faciale et de chirurgie orale;0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
156;seminars in respiratory and critical care medicine;0;0;0;1;0;0;0;0;1;0;0;2;0;0.4;0.18;1
157;journal of viral hepatitis;0;0;0;0;0;0;0;0;1;1;0;2;0;0.4;0.18;1
158;biomed research international;0;0;0;0;1;0;0;1;0;0;0;2;0;0.4;0.18;1
159;best practice & research. clinical obstetrics & gynaecology;0;0;0;0;2;0;0;0;0;0;0;2;0;0.6;0.18;2
160;the journal of emergency medicine;0;0;0;0;1;0;0;1;0;0;0;2;0;0.4;0.18;1
161;british journal of anaesthesia;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
162;la revue du praticien;0;0;0;0;1;1;0;0;0;0;0;2;0;0.4;0.18;1
163;tidsskrift for den norske laegeforening : tidsskrift for praktisk medicin, ny raekke;0;0;1;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
164;deutsche medizinische wochenschrift (1946);0;0;0;1;0;0;1;0;0;0;0;2;0;0.4;0.18;1
165;bulletin de l'academie nationale de medecine;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
166;bmc nephrology;0;0;0;0;0;0;0;1;1;0;0;2;0;0.4;0.18;1
167;jona's healthcare law, ethics and regulation;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
168;croatian medical journal;0;0;0;2;0;0;0;0;0;0;0;2;0;0.6;0.18;2
169;the american surgeon;0;0;1;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
170;antimicrobial resistance and infection control;0;0;0;0;0;0;0;0;2;0;0;2;0;0.6;0.18;2
171;jmir research protocols;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
172;medical anthropology quarterly;0;1;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
173;revista gaucha de enfermagem;0;0;0;0;1;0;0;1;0;0;0;2;0;0.4;0.18;1
174;journal of paediatrics and child health;0;1;0;0;0;1;0;0;0;0;0;2;0;0.4;0.18;1
175;neural regeneration research;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
176;annali italiani di chirurgia;0;0;0;0;0;2;0;0;0;0;0;2;0;0.6;0.18;2
177;clinics in liver disease;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
178;archives of disease in childhood;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
179;zeitschrift fur evidenz, fortbildung und qualitat im gesundheitswesen;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
180;medical law review;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
181;obstetrics and gynecology;0;0;0;0;0;1;1;0;0;0;0;2;0;0.4;0.18;1
182;journal of palliative medicine;0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
183;circulation;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
184;journal of cranio-maxillo-facial surgery : official publication of the european association for cranio-maxillo-facial surgery;1;0;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
185;european review for medical and pharmacological sciences;0;0;0;0;0;0;0;1;0;1;0;2;0;0.4;0.18;1
186;anales de pediatria (barcelona, spain : 2003);0;0;0;0;0;0;0;0;0;1;1;2;0;0.4;0.18;1
187;clinical transplants;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
188;journal of zhejiang university. science. b;0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
189;journal of reconstructive microsurgery;1;0;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
190;mayo clinic proceedings;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
191;journal of the american society of nephrology : jasn;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
192;methods (san diego, calif.);0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
193;stem cell reviews and reports;1;0;1;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
194;maturitas;1;0;0;0;1;0;0;0;0;0;0;2;0;0.4;0.18;1
195;journal of obstetrics and gynaecology canada : jogc = journal d'obstetrique et gynecologie du canada : jogc;0;0;0;0;0;0;2;0;0;0;0;2;0;0.6;0.18;2
196;blood;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
197;disability and rehabilitation;1;0;0;0;0;0;0;0;0;0;1;2;0;0.4;0.18;1
198;journal of thoracic imaging;1;0;0;0;0;0;0;0;1;0;0;2;0;0.4;0.18;1
199;revue de l'infirmiere;1;0;0;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
200;asia-pacific journal of public health;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
201;scandinavian journal of public health;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
202;philosophy, ethics, and humanities in medicine : pehm;0;0;0;0;0;1;0;0;0;1;0;2;0;0.4;0.18;1
203;life sciences, society and policy;0;0;0;0;0;2;0;0;0;0;0;2;0;0.6;0.18;2
204;journal of advanced nursing;0;0;1;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
205;cirugia y cirujanos;1;0;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
206;jama internal medicine;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
207;minerva anestesiologica;0;0;1;0;0;0;1;0;0;0;0;2;0;0.4;0.18;1
208;injury;0;0;0;0;0;1;0;1;0;0;0;2;0;0.4;0.18;1
209;annals of plastic surgery;0;1;0;1;0;0;0;0;0;0;0;2;0;0.4;0.18;1
210;international journal of surgery (london, england);0;0;0;0;0;0;1;1;0;0;0;2;0;0.4;0.18;1
211;stem cell research & therapy;0;0;0;0;0;0;1;0;1;0;0;2;0;0.4;0.18;1
212;reproductive biomedicine online;1;1;0;0;0;0;0;0;0;0;0;2;0;0.4;0.18;1
213;pediatric cardiology;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
214;rambam maimonides medical journal;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
215;clinics in chest medicine;0;2;0;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
216;bulletin of the world health organization;0;0;1;0;0;0;0;1;0;0;0;2;0;0.4;0.18;1
217;the american journal of nursing;0;1;0;0;0;0;0;0;0;1;0;2;0;0.4;0.18;1
218;american journal of nephrology;0;0;2;0;0;0;0;0;0;0;0;2;0;0.6;0.18;2
219;annals of surgery;0;0;0;0;0;0;0;1;0;0;1;2;0;0.4;0.18;1
220;anaesthesia;0;0;0;0;0;1;0;0;0;0;1;2;0;0.4;0.18;1
221;kidney international supplements;0;0;0;0;0;0;0;0;0;0;2;2;0;0.6;0.18;2
222;pediatric critical care medicine : a journal of the society of critical care medicine and the world federation of pediatric intensive and critical care societies;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
223;facial plastic surgery clinics of north america;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
224;magnetic resonance imaging;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
225;health communication;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
226;professional case management;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
227;the journal of hand surgery;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
228;nature reviews. urology;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
229;georgian medical news;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
230;journal of hepato-biliary-pancreatic sciences;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
231;irb;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
232;the american journal of case reports;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
233;the nursing journal of india;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
234;human genetics;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
235;hu li za zhi the journal of nursing;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
236;pakistan journal of medical sciences;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
237;journal of patient experience;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
238;acta historica leopoldina;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
239;seminars in nephrology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
240;international anesthesiology clinics;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
241;stem cells translational medicine;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
242;ciencia & saude coletiva;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
243;qatar medical journal;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
244;emerging infectious diseases;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
245;stem cell research;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
246;the israel medical association journal : imaj;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
247;the lancet. global health;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
248;current heart failure reports;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
249;age and ageing;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
250;acta bioethica;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
251;clinical nutrition espen;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
252;child's nervous system : chns : official journal of the international society for pediatric neurosurgery;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
253;journal of materials science. materials in medicine;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
254;journal of korean academy of nursing;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
255;the medical journal of malaysia;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
256;clinical and experimental obstetrics & gynecology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
257;medical history;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
258;avicenna journal of medicine;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
259;journal of intensive care medicine;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
260;future cardiology;0;0;0;0;0;0;0;1;0;0;0;1;0;0.3;0.09;1
261;khirurgiia;0;0;0;0;0;0;1;0;0;0;0;1;0;0.3;0.09;1
262;indian heart journal;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
263;cirugia pediatrica : organo oficial de la sociedad espanola de cirugia pediatrica;1;0;0;0;0;0;0;0;0;0;0;1;0;0.3;0.09;1
264;respiratory care;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
265;cadernos de saude publica;0;0;0;0;0;0;0;0;1;0;0;1;0;0.3;0.09;1
266;texas heart institute journal;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
267;gynecologie, obstetrique, fertilite & senologie;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
268;international journal of colorectal disease;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
269;bmc rheumatology;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
270;the patient;0;0;0;0;0;0;0;0;0;1;0;1;0;0.3;0.09;1
