;lemmas;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
163;dcd;27;4;3;21;20;0;20;13;31;31;32;202;0;11.83;18.36;32
164;strategy;19;11;12;16;7;11;22;26;29;35;12;200;7;8.86;18.18;35
165;control;13;9;5;7;15;22;27;39;16;24;21;198;5;9.96;18.0;39
166;important;18;15;11;15;13;18;23;14;25;29;16;197;11;5.54;17.91;29
167;specific;14;14;9;14;11;22;25;14;28;27;19;197;9;6.64;17.91;28
168;view;16;11;14;17;18;15;13;18;24;30;21;197;11;5.41;17.91;30
169;cardiac;47;13;15;21;15;3;20;13;14;23;13;197;3;11.01;17.91;47
170;evaluate;13;6;15;11;12;18;26;13;31;30;22;197;6;8.25;17.91;31
171;give;13;8;20;15;16;12;24;11;29;30;18;196;8;7.26;17.82;30
172;guideline;22;11;9;14;20;24;15;22;16;24;19;196;9;5.17;17.82;24
173;role;17;9;24;11;9;14;17;15;31;38;9;194;9;9.6;17.64;38
174;assessment;12;15;2;29;13;12;18;20;20;38;15;194;2;9.48;17.64;38
175;development;16;10;15;24;8;10;27;18;31;21;14;194;8;7.42;17.64;31
176;argue;17;8;22;14;19;19;13;21;28;20;12;193;8;5.54;17.55;28
177;standard;10;13;12;21;6;16;26;16;28;28;17;193;6;7.41;17.55;28
178;examine;12;9;13;18;15;11;15;18;36;25;20;192;9;7.63;17.45;36
179;people;15;13;27;12;13;11;22;8;39;24;8;192;8;9.56;17.45;39
180;intervention;4;3;14;6;13;3;33;20;33;41;22;192;3;13.52;17.45;41
181;impact;12;4;11;9;13;15;22;21;29;28;27;191;4;8.48;17.36;29
182;level;9;9;7;11;12;13;24;17;30;37;21;190;7;9.69;17.27;37
183;physician;25;9;19;8;25;8;17;23;29;19;7;189;7;8.01;17.18;29
184;problem;20;15;24;18;17;11;23;9;22;18;11;188;9;5.11;17.09;24
185;surgery;14;9;31;17;15;11;11;17;30;16;12;183;9;7.34;16.64;31
186;debate;25;10;18;16;19;9;17;16;19;30;4;183;4;7.24;16.64;30
187;raise;12;6;15;16;13;14;18;19;23;32;12;180;6;6.8;16.36;32
188;available;20;11;16;18;9;11;22;18;13;22;20;180;9;4.67;16.36;22
189;post;3;3;4;11;13;13;6;24;43;39;20;179;3;14.01;16.27;43
190;different;13;14;15;6;14;9;20;13;25;34;16;179;6;7.72;16.27;34
191;right;24;8;28;9;16;13;14;25;18;7;15;177;7;7.08;16.09;28
192;allow;10;13;19;10;12;11;21;16;27;29;9;177;9;7.03;16.09;29
193;shortage;29;8;24;11;15;20;19;10;13;17;10;176;8;6.56;16.0;29
194;body;13;15;22;11;20;12;19;12;20;20;12;176;11;4.2;16.0;22
195;accept;21;13;12;9;11;12;13;11;31;18;23;174;9;6.72;15.82;31
196;status;9;7;4;10;19;20;19;22;24;21;19;174;4;6.91;15.82;24
197;recent;23;3;16;10;17;11;16;13;28;20;17;174;3;6.71;15.82;28
198;allograft;12;12;5;19;19;4;13;16;32;28;13;173;4;8.56;15.73;32
199;literature;9;4;11;10;15;10;23;25;23;29;12;171;4;8.08;15.55;29
200;discussion;10;7;9;13;10;9;14;24;28;34;13;171;7;8.96;15.55;34
201;describe;11;7;11;10;12;11;13;26;33;19;18;171;7;7.85;15.55;33
202;determination;24;2;9;14;9;8;40;17;26;4;17;170;2;11.16;15.45;40
203;resource;5;2;23;10;9;14;18;14;31;24;20;170;2;8.74;15.45;31
204;mortality;9;14;7;7;11;17;14;16;20;36;19;170;7;8.17;15.45;36
205;day;4;12;26;9;10;11;9;16;24;27;21;169;4;7.9;15.36;27
206;future;11;9;18;10;11;15;16;14;28;31;5;168;5;7.93;15.27;31
207;world;17;9;38;8;14;9;14;13;12;17;16;167;8;8.21;15.18;38
208;team;15;16;5;21;10;13;15;16;12;23;21;167;5;5.25;15.18;23
209;population;10;8;5;20;10;14;24;20;22;17;15;165;5;6.2;15.0;24
210;conduct;5;9;10;16;10;16;13;14;27;30;15;165;5;7.5;15.0;30
211;obtain;8;10;9;13;16;11;13;22;28;20;15;165;8;6.15;15.0;28
212;purpose;15;8;8;11;19;6;19;26;22;16;14;164;6;6.32;14.91;26
213;financial;9;16;13;5;15;37;13;12;14;24;6;164;5;8.95;14.91;37
214;die;8;4;13;13;14;10;13;25;17;36;11;164;4;8.77;14.91;36
215;community;8;7;8;15;17;12;27;13;19;24;13;163;7;6.51;14.82;27
216;month;3;17;7;6;8;17;16;28;13;34;14;163;3;9.39;14.82;34
217;perspective;4;4;11;11;10;22;9;18;27;34;12;162;4;9.52;14.73;34
218;autonomy;15;6;20;14;23;9;14;17;18;20;6;162;6;5.71;14.73;23
219;effect;13;7;12;13;13;15;9;19;22;19;18;160;7;4.57;14.55;22
220;member;5;6;17;15;9;8;29;12;20;25;14;160;5;7.74;14.55;29
221;exchange;9;21;12;11;8;9;13;21;33;16;6;159;6;7.9;14.45;33
222;make;18;13;12;15;9;16;9;9;17;24;16;158;9;4.61;14.36;24
223;explore;8;7;4;14;12;18;14;18;21;30;12;158;4;7.27;14.36;30
224;n;10;14;5;11;9;20;20;15;23;19;12;158;5;5.59;14.36;23
225;wait;18;10;7;17;15;12;13;9;30;16;10;157;7;6.29;14.27;30
226;option;9;8;14;8;14;8;17;13;33;19;13;156;8;7.28;14.18;33
227;undergo;7;15;9;11;12;12;14;9;25;30;12;156;7;7.05;14.18;30
228;show;11;12;13;8;7;9;16;16;34;17;12;155;7;7.38;14.09;34
229;moral;17;11;10;14;11;18;7;14;27;15;10;154;7;5.42;14.0;27
230;person;24;12;14;8;18;6;14;15;11;24;8;154;6;6.05;14.0;24
231;mean;7;18;4;15;11;9;27;9;21;29;4;154;4;8.76;14.0;29
232;knowledge;8;5;14;15;8;11;24;4;31;13;19;152;4;8.23;13.82;31
233;evidence;12;4;5;9;16;12;14;17;15;28;20;152;4;6.78;13.82;28
234;great;14;10;12;10;18;11;11;16;21;20;9;152;9;4.29;13.82;21
235;objective;15;5;6;15;14;10;14;18;18;25;12;152;5;5.65;13.82;25
236;analyze;7;4;8;7;19;18;15;15;22;16;19;150;4;6.07;13.64;22
237;interview;7;4;3;9;16;12;8;13;40;23;15;150;3;10.47;13.64;40
238;dialysis;0;5;26;13;8;21;19;20;17;10;10;149;0;7.79;13.55;26
239;measure;6;6;15;6;14;13;21;16;18;19;15;149;6;5.35;13.55;21
240;old;16;4;16;6;28;11;15;13;11;25;4;149;4;7.79;13.55;28
241;propose;16;12;8;10;11;11;14;12;20;20;15;149;8;3.91;13.55;20
242;act;11;12;12;12;4;11;18;10;22;25;11;148;4;5.94;13.45;25
243;condition;10;8;8;11;13;8;9;21;21;22;16;147;8;5.66;13.36;22
244;blood;7;23;7;12;7;22;23;17;9;12;7;146;7;6.77;13.27;23
245;state;7;6;13;7;14;16;24;10;27;12;10;146;6;6.83;13.27;27
246;rule;22;10;12;12;18;6;10;5;24;10;15;144;5;6.11;13.09;24
247;despite;9;12;12;14;11;6;11;16;17;21;14;143;6;4.07;13.0;21
248;way;11;12;10;12;18;13;12;15;20;14;6;143;6;3.79;13.0;20
249;healthcare;13;3;3;17;6;11;14;9;20;26;21;143;3;7.54;13.0;26
250;positive;5;7;3;8;9;13;23;12;29;20;14;143;3;8.05;13.0;29
251;establish;12;12;8;12;17;9;11;19;17;17;8;142;8;3.96;12.91;19
252;find;11;9;12;10;6;9;15;6;27;24;13;142;6;6.82;12.91;27
253;argument;8;7;13;3;12;20;6;17;30;15;11;142;3;7.57;12.91;30
254;primary;12;5;8;11;10;14;12;13;16;24;17;142;5;5.01;12.91;24
255;help;9;11;5;6;12;10;16;15;16;29;13;142;5;6.49;12.91;29
256;difference;17;7;3;4;11;14;10;14;28;17;16;141;3;7.05;12.82;28
257;finding;8;3;6;7;14;14;8;23;23;20;14;140;3;6.97;12.73;23
258;early;9;8;8;5;11;13;15;20;14;20;17;140;5;5.02;12.73;20
259;score;6;7;1;12;7;17;14;16;31;15;14;140;1;7.88;12.73;31
260;management;8;10;13;6;15;7;12;24;13;21;11;140;6;5.59;12.73;24
261;interest;13;3;7;14;17;9;20;20;12;18;6;139;3;5.84;12.64;20
262;china;19;9;13;7;14;10;13;10;11;27;5;138;5;6.07;12.55;27
263;waiting;24;8;8;14;16;8;13;6;10;21;10;138;6;5.79;12.55;24
264;well;7;3;27;9;13;9;14;19;10;20;6;137;3;7.1;12.45;27
265;inform;6;11;7;9;9;13;11;14;17;29;11;137;6;6.31;12.45;29
266;context;18;3;11;4;13;11;8;10;23;16;19;136;3;6.23;12.36;23
267;save;14;5;7;4;13;9;18;9;25;23;9;136;4;7.03;12.36;25
268;lead;12;11;8;10;6;10;9;12;21;27;10;136;6;6.15;12.36;27
269;continue;10;7;10;7;13;2;11;14;22;17;22;135;2;6.23;12.27;22
270;define;12;11;10;9;7;4;10;18;16;20;18;135;4;5.08;12.27;20
271;intensive;11;5;21;9;10;5;11;8;6;37;11;134;5;9.34;12.18;37
272;priority;6;5;27;10;10;8;24;3;11;11;19;134;3;7.81;12.18;27
273;pair;7;15;9;15;5;13;8;19;22;11;10;134;5;5.21;12.18;22
274;significantly;12;3;13;13;11;12;12;7;23;21;7;134;3;5.79;12.18;23
275;reason;9;11;7;4;20;10;12;11;21;16;12;133;4;5.15;12.09;21
276;4;5;3;4;10;5;12;19;13;18;21;22;132;3;7.17;12.0;22
277;uterus;0;0;1;8;11;9;13;22;28;17;23;132;0;9.69;12.0;28
278;solid;5;6;17;5;8;9;6;11;25;25;15;132;5;7.54;12.0;25
279;market;35;3;12;4;22;12;11;14;12;6;0;131;0;9.79;11.91;35
280;exist;5;7;9;15;7;16;12;12;9;31;8;131;5;7.2;11.91;31
281;total;5;7;7;3;4;24;8;17;22;17;16;130;3;7.55;11.82;24
282;5;8;5;9;9;5;13;15;9;23;18;16;130;5;5.69;11.82;23
283;reduce;4;5;8;6;11;10;11;16;17;31;11;130;4;7.57;11.82;31
284;test;23;8;2;3;5;11;16;21;19;11;11;130;2;7.18;11.82;23
285;field;12;14;8;13;10;11;12;10;18;13;8;129;8;2.87;11.73;18
286;work;10;6;11;8;12;5;17;11;15;25;8;128;5;5.7;11.64;25
287;aspect;21;11;7;9;7;8;19;8;14;16;8;128;7;5.07;11.64;21
288;safety;13;6;9;17;5;12;5;14;8;13;26;128;5;6.2;11.64;26
289;limit;4;7;11;12;8;7;13;13;23;18;12;128;4;5.37;11.64;23
290;animal;7;7;0;10;15;20;13;12;30;4;9;127;0;8.17;11.55;30
291;place;5;3;25;4;10;11;9;9;25;17;9;127;3;7.66;11.55;25
292;general;19;3;6;18;8;13;4;12;27;8;9;127;3;7.29;11.55;27
293;xenotransplantation;17;1;4;4;3;33;17;10;12;1;25;127;1;10.55;11.55;33
294;barrier;2;8;13;4;6;10;16;27;10;17;14;127;2;7.02;11.55;27
295;hand;9;21;6;5;18;0;13;13;19;19;4;127;0;7.19;11.55;21
296;possible;13;11;8;11;9;7;8;18;15;16;10;126;7;3.62;11.45;18
297;+;4;18;16;9;12;12;9;0;20;20;6;126;0;6.62;11.45;20
298;95;3;9;0;7;11;6;11;5;47;15;11;125;0;12.56;11.36;47
299;design;8;3;2;4;5;12;14;17;26;23;11;125;2;8.08;11.36;26
300;type;8;5;8;7;5;13;13;6;19;24;17;125;5;6.38;11.36;24
301;surgical;9;7;16;5;10;3;18;11;26;17;3;125;3;7.2;11.36;26
302;form;8;9;13;14;5;18;6;15;14;16;6;124;5;4.58;11.27;18
303;treat;0;14;4;4;13;25;8;18;16;13;9;124;0;7.2;11.27;25
304;ensure;9;9;9;10;12;9;12;5;16;15;17;123;5;3.63;11.18;17
305;influence;4;3;9;13;9;4;16;15;23;15;12;123;3;6.13;11.18;23
306;recommendation;3;2;5;4;7;8;18;27;17;16;16;123;2;8.04;11.18;27
307;psychosocial;7;10;6;9;20;11;11;12;14;14;8;122;6;3.94;11.09;20
308;take;8;10;9;10;7;14;14;6;18;18;8;122;6;4.25;11.09;18
309;response;9;6;8;12;11;8;15;10;16;17;9;121;6;3.61;11.0;17
310;lack;10;9;2;13;18;7;13;10;13;12;14;121;2;4.17;11.0;18
311;subject;8;12;11;10;2;7;20;16;8;20;7;121;2;5.66;11.0;20
312;framework;3;11;6;10;13;13;8;7;15;12;23;121;3;5.33;11.0;23
313;complex;9;15;12;15;7;8;16;5;9;19;5;120;5;4.76;10.91;19
314;major;12;6;15;4;10;10;11;15;13;13;11;120;4;3.42;10.91;15
315;ethically;17;7;7;11;14;4;14;7;13;18;7;119;4;4.69;10.82;18
316;cause;8;4;5;7;12;6;4;9;24;22;18;119;4;7.26;10.82;24
317;network;11;4;3;5;10;23;10;8;14;19;11;118;3;6.13;10.73;23
318;selection;7;5;12;9;5;6;16;13;14;19;12;118;5;4.69;10.73;19
319;respect;7;6;10;11;16;6;7;8;14;25;8;118;6;5.75;10.73;25
320;provider;7;4;2;15;8;4;9;19;15;19;15;117;2;6.19;10.64;19
321;relationship;12;7;11;7;10;9;6;5;20;18;11;116;5;4.76;10.55;20
322;implication;6;7;9;10;6;8;13;18;8;17;13;115;6;4.23;10.45;18
323;association;7;6;3;8;8;6;15;10;24;14;14;115;3;5.91;10.45;24
324;choice;20;6;4;11;10;10;11;9;21;8;5;115;4;5.5;10.45;21
325;woman;4;18;3;6;7;13;10;5;17;29;3;115;3;8.15;10.45;29
326;facial;12;4;16;12;2;2;9;6;28;23;1;115;1;8.93;10.45;28
327;>;4;6;7;13;6;10;9;9;17;24;9;114;4;5.77;10.36;24
328;order;10;4;5;11;9;3;11;15;20;19;7;114;3;5.71;10.36;20
329;critical;8;12;8;10;11;3;11;5;16;21;9;114;3;4.95;10.36;21
330;hiv;5;2;0;4;1;23;23;2;16;23;15;114;0;9.68;10.36;23
331;self;8;4;6;7;16;6;10;16;11;24;5;113;4;6.12;10.27;24
332;surgeon;7;3;8;14;9;11;18;6;20;12;5;113;3;5.37;10.27;20
333;meet;6;7;12;11;5;10;8;18;16;14;5;112;5;4.47;10.18;18
334;global;8;3;20;3;2;12;11;8;25;8;12;112;2;7.12;10.18;25
335;complete;14;5;4;10;5;6;12;15;22;12;6;111;4;5.58;10.09;22
336;decrease;5;10;6;7;6;8;10;10;23;13;13;111;5;5.07;10.09;23
337;source;9;10;3;7;14;6;13;11;16;16;6;111;3;4.35;10.09;16
338;know;12;5;9;8;13;8;8;8;12;21;6;110;5;4.43;10.0;21
