;meshterms;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
44;europe;6;4;1;2;2;5;4;3;3;1;2;33;1;1.61;3.0;6
45;infant;3;2;4;2;1;4;3;2;5;5;1;32;1;1.45;2.91;5
46;cadaver;7;6;2;4;3;2;2;2;2;2;0;32;0;2.02;2.91;7
47;survival rate;0;5;2;2;5;4;1;0;9;2;1;31;0;2.71;2.82;9
48;attitude of health personnel;7;2;0;0;4;2;3;4;2;5;1;30;0;2.15;2.73;7
49;risk;1;2;1;2;6;3;3;1;4;2;3;28;1;1.51;2.55;6
50;organ transplantation;0;1;2;1;3;0;6;4;5;4;1;27;0;2.07;2.45;6
51;kidney transplantation;3;1;1;1;2;4;4;2;1;5;3;27;1;1.44;2.45;5
52;public opinion;2;0;3;4;6;3;4;1;1;1;1;26;0;1.8;2.36;6
53;japan;4;2;1;2;1;1;2;4;7;1;0;25;0;2.0;2.27;7
54;canada;3;0;1;1;2;1;2;6;0;6;1;23;0;2.12;2.09;6
55;socioeconomic factors;4;2;3;1;3;5;0;1;3;1;0;23;0;1.64;2.09;5
56;international cooperation;6;2;3;1;0;1;2;2;2;2;2;23;0;1.51;2.09;6
57;germany;2;0;3;2;3;0;6;0;3;3;0;22;0;1.9;2.0;6
58;conflict of interest;5;1;1;5;2;1;1;4;0;0;1;21;0;1.87;1.91;5
59;interviews as topic;1;0;1;1;3;2;2;2;3;4;2;21;0;1.14;1.91;4
60;france;5;0;1;3;5;0;2;0;0;4;1;21;0;2.02;1.91;5
61;internationality;5;5;2;1;4;1;0;0;3;0;0;21;0;2.02;1.91;5
62;communication;2;2;2;0;1;3;2;6;0;3;0;21;0;1.76;1.91;6
63;pilot projects;2;0;1;1;3;2;1;5;3;1;2;21;0;1.38;1.91;5
64;health services accessibility;3;3;5;0;1;0;1;1;2;1;3;20;0;1.54;1.82;5
65;heart transplantation;0;1;1;1;3;2;4;1;4;3;0;20;0;1.47;1.82;4
66;italy;1;1;0;0;1;6;2;0;2;5;2;20;0;1.99;1.82;6
67;bioethical issues;2;0;0;0;3;0;3;3;5;4;0;20;0;1.89;1.82;5
68;social justice;5;0;2;2;3;1;2;1;1;3;0;20;0;1.47;1.82;5
69;transplant recipients;0;0;0;0;1;1;2;3;6;5;1;19;0;2.1;1.73;6
70;cohort studies;2;1;0;1;2;2;2;2;1;5;1;19;0;1.27;1.73;5
71;ethical analysis;3;0;1;2;1;1;4;3;4;0;0;19;0;1.56;1.73;4
72;research design;3;0;0;0;0;7;2;1;4;1;1;19;0;2.2;1.73;7
73;beneficence;5;1;0;1;2;1;1;2;2;3;0;18;0;1.43;1.64;5
74;india;1;1;0;2;5;1;2;2;3;1;0;18;0;1.43;1.64;5
75;social responsibility;7;2;0;1;0;2;3;0;3;0;0;18;0;2.16;1.64;7
76;iran;5;0;2;0;2;1;1;1;2;3;1;18;0;1.43;1.64;5
77;guidelines as topic;2;3;3;1;1;3;0;4;0;1;0;18;0;1.43;1.64;4
78;attitude to death;3;0;2;0;1;4;2;2;4;0;0;18;0;1.57;1.64;4
79;netherlands;2;0;0;1;0;1;4;3;4;3;0;18;0;1.63;1.64;4
80;recurrence;1;1;1;0;2;0;2;4;5;1;0;17;0;1.63;1.55;5
81;israel;2;2;3;1;2;1;0;3;1;2;0;17;0;1.04;1.55;3
82;severity of illness index;0;3;2;2;0;2;1;3;3;0;1;17;0;1.21;1.55;3
83;spain;5;1;0;0;0;1;2;3;1;2;2;17;0;1.51;1.55;5
84;kidney;0;0;0;0;2;0;1;8;2;4;0;17;0;2.5;1.55;8
85;swine;1;0;0;3;1;1;4;1;4;1;1;17;0;1.44;1.55;4
86;graft rejection;4;1;1;0;2;1;3;2;1;2;0;17;0;1.21;1.55;4
87;sweden;1;1;0;1;2;1;4;0;3;3;0;16;0;1.37;1.45;4
88;consensus;1;1;2;1;1;2;1;1;3;3;0;16;0;0.93;1.45;3
89;intensive care units;1;4;0;1;1;0;2;1;1;3;2;16;0;1.21;1.45;4
90;healthcare disparities;0;0;5;0;2;1;0;3;2;2;1;16;0;1.57;1.45;5
91;government regulation;10;1;2;0;2;0;0;0;0;1;0;16;0;2.94;1.45;10
92;australia;2;1;0;2;2;2;2;2;3;0;0;16;0;1.04;1.45;3
93;developing countries;3;1;2;0;4;1;1;2;1;0;0;15;0;1.29;1.36;4
94;patient safety;0;0;1;0;3;4;2;1;2;0;2;15;0;1.36;1.36;4
95;forecasting;3;0;2;0;1;2;1;2;2;2;0;15;0;1.03;1.36;3
96;south africa;0;0;2;0;1;1;0;2;3;2;3;14;0;1.19;1.27;3
97;reproducibility of results;3;3;0;1;1;0;1;1;2;2;0;14;0;1.1;1.27;3
98;attitude to health;3;1;2;0;2;2;1;0;1;1;1;14;0;0.9;1.27;3
99;attitude;3;0;0;0;0;2;2;2;3;1;1;14;0;1.19;1.27;3
100;global health;0;2;6;0;1;2;0;1;0;1;1;14;0;1.74;1.27;6
101;survival analysis;1;3;0;2;2;0;1;1;1;3;0;14;0;1.1;1.27;3
102;religion and medicine;0;1;1;1;4;2;2;0;0;2;1;14;0;1.19;1.27;4
103;clinical trials as topic;2;0;1;0;0;0;3;0;1;3;3;13;0;1.33;1.18;3
104;brazil;1;1;0;0;2;1;0;2;3;3;0;13;0;1.17;1.18;3
105;cultural characteristics;0;1;1;2;2;3;0;1;0;1;2;13;0;0.98;1.18;3
106;turkey;2;0;2;3;0;2;0;0;2;1;1;13;0;1.08;1.18;3
107;personhood;1;0;3;1;1;2;1;1;2;1;0;13;0;0.87;1.18;3
108;social support;1;1;3;1;1;0;0;1;5;0;0;13;0;1.54;1.18;5
109;european union;3;2;2;1;1;2;1;0;0;0;0;12;0;1.04;1.09;3
110;patient education as topic;3;1;1;1;0;2;1;1;0;1;1;12;0;0.83;1.09;3
111;medical tourism;3;2;2;1;1;1;0;0;1;1;0;12;0;0.94;1.09;3
112;commerce;2;2;0;1;3;0;2;1;1;0;0;12;0;1.04;1.09;3
113;logistic models;0;1;0;4;2;0;0;1;0;4;0;12;0;1.58;1.09;4
114;bioethics;2;1;0;0;2;2;1;1;3;0;0;12;0;1.04;1.09;3
115;trust;2;1;1;3;0;1;1;1;1;1;0;12;0;0.83;1.09;3
116;proportional hazards models;1;0;1;0;2;2;1;4;0;0;1;12;0;1.22;1.09;4
117;needs assessment;1;4;2;0;1;0;0;2;1;1;0;12;0;1.22;1.09;4
118;resource allocation;0;0;2;0;2;0;1;2;1;2;2;12;0;0.94;1.09;2
119;prisoners;2;1;2;3;0;1;1;1;1;0;0;12;0;0.94;1.09;3
120;human body;2;1;0;1;4;0;1;2;0;1;0;12;0;1.22;1.09;4
121;policy making;0;1;0;0;2;3;2;2;1;1;0;12;0;1.04;1.09;3
122;coercion;2;2;1;0;1;0;4;0;1;0;0;11;0;1.26;1.0;4
123;uncertainty;1;0;0;2;0;2;2;2;0;1;1;11;0;0.89;1.0;2
124;poverty;4;1;0;1;2;0;1;1;1;0;0;11;0;1.18;1.0;4
125;gift giving;3;1;1;1;1;1;1;1;1;0;0;11;0;0.77;1.0;3
126;policy;0;0;0;0;1;1;2;1;3;3;0;11;0;1.18;1.0;3
127;public policy;2;0;0;0;0;1;4;3;0;1;0;11;0;1.41;1.0;4
128;health care surveys;1;2;1;3;2;0;0;0;1;1;0;11;0;1.0;1.0;3
129;tissue and organ harvesting;2;0;1;1;1;0;1;2;0;2;1;11;0;0.77;1.0;2
130;program development;3;2;1;0;2;0;0;2;0;0;0;10;0;1.14;0.91;3
131;allografts;0;0;0;2;1;1;2;0;1;3;0;10;0;1.04;0.91;3
132;algorithms;2;0;1;1;1;2;0;0;2;1;0;10;0;0.83;0.91;2
133;contraindications;1;1;1;1;1;3;1;1;0;0;0;10;0;0.83;0.91;3
134;ethical theory;1;2;0;2;0;1;1;0;1;2;0;10;0;0.83;0.91;2
135;interdisciplinary communication;1;2;0;2;2;0;1;2;0;0;0;10;0;0.94;0.91;2
136;longitudinal studies;0;0;0;0;3;1;1;1;1;3;0;10;0;1.14;0.91;3
137;health services needs and demand;1;4;0;0;0;1;2;0;1;0;0;9;0;1.25;0.82;4
138;comorbidity;0;2;0;1;0;2;0;2;1;0;1;9;0;0.87;0.82;2
139;renal dialysis;0;0;1;2;1;3;1;0;1;0;0;9;0;0.98;0.82;3
140;incidence;1;2;1;0;2;1;0;0;1;1;0;9;0;0.75;0.82;2
141;wales;0;0;0;1;1;0;1;1;1;4;0;9;0;1.17;0.82;4
142;new zealand;1;0;1;1;1;1;0;1;3;0;0;9;0;0.87;0.82;3
143;perception;1;0;0;0;2;3;0;0;1;1;1;9;0;0.98;0.82;3
144;randomized controlled trials as topic;0;1;0;0;0;0;3;0;0;3;2;9;0;1.25;0.82;3
145;pakistan;2;0;1;2;2;0;0;1;1;0;0;9;0;0.87;0.82;2
146;cooperative behavior;1;2;0;2;1;2;0;0;0;1;0;9;0;0.87;0.82;2
147;moral obligations;4;3;0;1;1;0;0;0;0;0;0;9;0;1.4;0.82;4
148;confidentiality;1;0;1;0;0;3;1;0;1;1;0;8;0;0.9;0.73;3
149;kidney function tests;1;1;1;1;0;0;1;1;2;0;0;8;0;0.65;0.73;2
150;comprehension;1;0;0;2;2;0;2;0;0;1;0;8;0;0.9;0.73;2
151;dissent and disputes;1;0;0;0;1;2;0;2;2;0;0;8;0;0.9;0.73;2
152;health status;0;0;1;0;2;1;2;1;0;1;0;8;0;0.79;0.73;2
153;reoperation;1;1;2;2;1;0;0;0;1;0;0;8;0;0.79;0.73;2
154;predictive value of tests;1;0;1;1;1;0;1;0;1;1;1;8;0;0.47;0.73;1
155;disease progression;0;1;0;1;1;1;0;1;2;1;0;8;0;0.65;0.73;2
156;feasibility studies;0;2;0;1;0;0;0;3;1;0;1;8;0;1.01;0.73;3
157;betacoronavirus;0;0;0;0;0;0;0;0;0;0;8;8;0;2.41;0.73;8
158;sex factors;2;1;0;0;1;1;1;0;1;0;1;8;0;0.65;0.73;2
159;geography;0;0;0;0;1;1;1;4;0;1;0;8;0;1.19;0.73;4
160;self concept;1;1;1;1;1;0;1;0;2;0;0;8;0;0.65;0.73;2
161;choice behavior;1;0;1;0;1;1;2;0;1;1;0;8;0;0.65;0.73;2
162;cause of death;1;1;0;0;0;3;2;0;0;1;0;8;0;1.01;0.73;3
163;fatal outcome;1;1;3;0;1;0;0;1;0;1;0;8;0;0.9;0.73;3
164;switzerland;1;1;0;2;1;0;0;2;0;0;1;8;0;0.79;0.73;2
165;systematic reviews as topic;0;0;0;0;0;3;1;1;2;1;0;8;0;1.01;0.73;3
166;critical care;1;1;0;0;2;0;0;0;0;4;0;8;0;1.27;0.73;4
167;nephrectomy;0;0;0;0;3;0;2;1;0;2;0;8;0;1.1;0.73;3
168;health care costs;1;0;1;0;0;2;0;0;4;0;0;8;0;1.27;0.73;4
169;religion;1;0;0;2;0;1;0;1;1;0;1;7;0;0.67;0.64;2
170;judgment;7;0;0;0;0;0;0;0;0;0;0;7;0;2.11;0.64;7
171;asia;1;0;0;0;2;1;0;0;1;1;1;7;0;0.67;0.64;2
172;california;2;0;0;0;0;0;1;2;1;1;0;7;0;0.81;0.64;2
173;histocompatibility testing;1;2;0;0;0;1;1;0;0;2;0;7;0;0.81;0.64;2
174;philippines;1;0;1;2;1;0;0;2;0;0;0;7;0;0.81;0.64;2
175;pandemics;0;0;0;0;0;0;0;0;0;0;7;7;0;2.11;0.64;7
176;patient rights;4;2;0;0;0;0;0;0;1;0;0;7;0;1.29;0.64;4
177;prevalence;0;2;0;0;1;0;0;2;1;1;0;7;0;0.81;0.64;2
178;immunosuppression;1;1;0;0;0;0;2;2;0;0;1;7;0;0.81;0.64;2
179;counseling;1;0;2;0;0;1;0;0;0;2;1;7;0;0.81;0.64;2
180;donor selection;1;1;0;1;1;1;0;1;0;1;0;7;0;0.5;0.64;1
181;human rights;1;0;0;1;4;0;1;0;0;0;0;7;0;1.21;0.64;4
182;sensitivity and specificity;1;1;0;2;1;0;1;0;1;0;0;7;0;0.67;0.64;2
183;data collection;1;1;1;0;1;1;0;1;1;0;0;7;0;0.5;0.64;1
184;world health organization;2;0;3;0;0;1;0;0;0;1;0;7;0;1.03;0.64;3
185;patient compliance;0;0;2;2;1;0;1;0;1;0;0;7;0;0.81;0.64;2
186;social values;1;0;0;0;0;2;2;1;0;1;0;7;0;0.81;0.64;2
187;culture;1;1;1;0;1;0;1;0;2;0;0;7;0;0.67;0.64;2
188;politics;1;2;0;2;0;0;0;0;1;0;0;6;0;0.82;0.55;2
189;glomerular filtration rate;0;1;0;0;0;0;0;1;2;1;1;6;0;0.69;0.55;2
190;histocompatibility;1;2;0;0;0;1;0;2;0;0;0;6;0;0.82;0.55;2
191;ethics committees;2;0;0;0;1;2;1;0;0;0;0;6;0;0.82;0.55;2
192;pediatrics;0;0;1;1;1;1;1;0;0;1;0;6;0;0.52;0.55;1
193;liver transplantation;0;0;2;0;1;0;0;0;0;2;1;6;0;0.82;0.55;2
194;norway;0;0;3;0;0;1;0;1;1;0;0;6;0;0.93;0.55;3
195;multicenter studies as topic;0;0;0;0;0;0;0;0;1;4;1;6;0;1.21;0.55;4
196;blood group incompatibility;2;0;1;1;0;2;0;0;0;0;0;6;0;0.82;0.55;2
197;genotype;0;0;0;0;0;2;1;1;0;1;1;6;0;0.69;0.55;2
198;transplantation immunology;2;1;0;0;1;0;0;0;2;0;0;6;0;0.82;0.55;2
199;emotions;0;0;0;2;1;2;0;1;0;0;0;6;0;0.82;0.55;2
200;advance directives;0;0;0;1;0;0;1;0;2;2;0;6;0;0.82;0.55;2
201;ethics consultation;2;3;0;1;0;0;0;0;0;0;0;6;0;1.04;0.55;3
202;focus groups;0;0;0;1;0;0;0;0;2;2;1;6;0;0.82;0.55;2
203;quality of health care;0;0;1;2;0;1;0;0;0;2;0;6;0;0.82;0.55;2
204;interpersonal relations;0;0;1;2;1;0;0;0;2;0;0;6;0;0.82;0.55;2
205;patient care team;0;2;2;1;1;0;0;0;0;0;0;6;0;0.82;0.55;2
206;clinical protocols;0;0;1;0;1;1;1;2;0;0;0;6;0;0.69;0.55;2
207;educational status;1;0;1;0;0;1;0;0;2;0;1;6;0;0.69;0.55;2
208;postoperative complications;0;0;3;0;0;0;1;0;1;1;0;6;0;0.93;0.55;3
209;republic of korea;1;0;0;2;2;0;0;0;0;0;1;6;0;0.82;0.55;2
210;program evaluation;0;1;1;1;0;0;1;0;2;0;0;6;0;0.69;0.55;2
211;medicare;0;1;0;1;1;1;1;0;1;0;0;6;0;0.52;0.55;1
212;belgium;0;2;0;0;1;0;0;0;0;2;1;6;0;0.82;0.55;2
213;vulnerable populations;0;1;0;0;2;1;0;1;0;1;0;6;0;0.69;0.55;2
214;postoperative period;0;0;0;0;1;2;1;0;0;1;0;5;0;0.69;0.45;2
215;terminology as topic;0;1;0;0;0;1;2;0;1;0;0;5;0;0.69;0.45;2
216;austria;0;1;0;1;1;1;0;0;1;0;0;5;0;0.52;0.45;1
217;mental health;0;1;1;2;0;1;0;0;0;0;0;5;0;0.69;0.45;2
218;congresses as topic;0;0;0;0;1;0;2;1;1;0;0;5;0;0.69;0.45;2
219;patient advocacy;0;0;1;1;0;1;2;0;0;0;0;5;0;0.69;0.45;2
220;awareness;0;0;0;2;1;0;0;1;1;0;0;5;0;0.69;0.45;2
221;mexico;0;2;0;1;1;1;0;0;0;0;0;5;0;0.69;0.45;2
222;directed tissue donation;0;0;0;0;0;2;0;1;1;1;0;5;0;0.69;0.45;2
223;alcohol abstinence;0;0;0;0;0;1;0;3;1;0;0;5;0;0.93;0.45;3
224;social perception;0;1;0;0;0;2;0;0;2;0;0;5;0;0.82;0.45;2
225;capital punishment;3;1;0;0;0;1;0;0;0;0;0;5;0;0.93;0.45;3
226;islam;0;0;0;0;1;0;0;1;2;1;0;5;0;0.69;0.45;2
227;extracorporeal membrane oxygenation;1;0;0;1;0;1;0;0;1;0;1;5;0;0.52;0.45;1
228;pregnancy outcome;0;0;0;2;1;0;0;1;0;1;0;5;0;0.69;0.45;2
229;latin america;0;3;0;0;1;0;1;0;0;0;0;5;0;0.93;0.45;3
230;quality improvement;0;0;2;0;1;1;0;0;1;0;0;5;0;0.69;0.45;2
231;social identification;0;0;1;0;1;0;0;0;0;3;0;5;0;0.93;0.45;3
232;family relations;1;0;0;0;2;0;0;2;0;0;0;5;0;0.82;0.45;2
233;physicians;1;0;1;1;0;0;0;1;0;1;0;5;0;0.52;0.45;1
234;roc curve;0;0;1;1;0;0;1;0;1;1;0;5;0;0.52;0.45;1
235;palliative care;0;1;1;0;0;0;0;0;1;2;0;5;0;0.69;0.45;2
236;body mass index;0;1;0;1;0;0;0;0;1;2;0;5;0;0.69;0.45;2
237;multivariate analysis;0;1;0;2;0;2;0;0;0;0;0;5;0;0.82;0.45;2
238;organ size;0;0;1;1;0;0;2;0;0;1;0;5;0;0.69;0.45;2
239;hospital mortality;0;1;1;0;0;0;1;1;1;0;0;5;0;0.52;0.45;1
240;medical futility;0;0;1;1;2;0;0;0;0;1;0;5;0;0.69;0.45;2
241;transplantation;0;1;2;0;2;0;0;0;0;0;0;5;0;0.82;0.45;2
242;african americans;0;0;0;2;0;0;1;1;0;0;1;5;0;0.69;0.45;2
243;patient participation;1;0;2;0;0;1;0;0;0;0;1;5;0;0.69;0.45;2
244;withholding treatment;3;0;1;0;1;0;0;0;0;0;0;5;0;0.93;0.45;3
245;heart arrest;1;1;0;0;2;1;0;0;0;0;0;5;0;0.69;0.45;2
246;united states food and drug administration;1;0;0;0;0;1;0;0;3;0;0;5;0;0.93;0.45;3
247;organ preservation;2;0;0;0;1;0;1;0;0;1;0;5;0;0.69;0.45;2
248;chronic disease;1;1;0;0;1;1;0;0;0;1;0;5;0;0.52;0.45;1
249;biomedical research;1;1;0;1;1;0;0;0;1;0;0;5;0;0.52;0.45;1
250;advisory committees;1;0;1;0;0;1;0;0;0;2;0;5;0;0.69;0.45;2
251;lung transplantation;1;0;1;0;0;1;0;0;0;2;0;5;0;0.69;0.45;2
252;commodification;2;1;0;0;2;0;0;0;0;0;0;5;0;0.82;0.45;2
253;cardiovascular system;1;0;0;0;1;0;0;0;1;1;0;4;0;0.5;0.36;1
254;recovery of function;0;0;0;0;0;1;0;0;2;0;1;4;0;0.67;0.36;2
255;public health;0;2;0;0;0;1;0;1;0;0;0;4;0;0.67;0.36;2
256;value of life;0;0;1;0;0;1;1;0;1;0;0;4;0;0.5;0.36;1
257;resuscitation;0;0;0;0;0;1;1;1;0;1;0;4;0;0.5;0.36;1
258;medication adherence;1;0;1;0;0;0;0;0;0;2;0;4;0;0.67;0.36;2
259;length of stay;0;1;0;0;0;0;1;1;1;0;0;4;0;0.5;0.36;1
260;referral and consultation;0;0;2;0;0;0;0;0;0;2;0;4;0;0.81;0.36;2
261;income;2;0;1;0;0;0;0;1;0;0;0;4;0;0.67;0.36;2
262;random allocation;1;0;0;0;0;0;1;1;1;0;0;4;0;0.5;0.36;1
263;observational studies as topic;0;0;0;0;0;0;0;0;2;1;1;4;0;0.67;0.36;2
264;transplants;0;0;0;0;0;0;1;1;0;2;0;4;0;0.67;0.36;2
265;cell line;1;1;1;0;0;0;0;0;1;0;0;4;0;0.5;0.36;1
266;biopsy;0;0;0;0;0;1;0;0;2;1;0;4;0;0.67;0.36;2
267;medicaid;0;1;0;0;0;2;0;0;0;1;0;4;0;0.67;0.36;2
268;odds ratio;0;0;1;1;1;0;0;0;0;1;0;4;0;0.5;0.36;1
269;parents;0;0;2;0;0;0;0;0;0;1;1;4;0;0.67;0.36;2
270;research subjects;0;0;0;0;0;0;1;1;0;2;0;4;0;0.67;0.36;2
271;rats;0;1;0;0;0;1;1;0;1;0;0;4;0;0.5;0.36;1
272;software;1;1;0;1;0;0;0;0;0;1;0;4;0;0.5;0.36;1
273;volition;0;0;0;0;0;3;0;0;1;0;0;4;0;0.92;0.36;3
274;health care rationing;0;0;1;1;0;1;0;0;0;0;1;4;0;0.5;0.36;1
275;social behavior;1;0;0;0;0;0;1;0;2;0;0;4;0;0.67;0.36;2
276;warm ischemia;0;1;0;0;2;0;0;0;0;1;0;4;0;0.67;0.36;2
277;patient satisfaction;0;0;0;0;0;0;1;1;2;0;0;4;0;0.67;0.36;2
278;ethics;0;1;1;0;1;0;0;0;0;0;1;4;0;0.5;0.36;1
279;genetic predisposition to disease;1;0;0;0;0;2;0;0;0;1;0;4;0;0.67;0.36;2
280;mass media;1;0;0;2;0;0;0;1;0;0;0;4;0;0.67;0.36;2
281;internet;1;0;0;1;0;0;0;0;0;2;0;4;0;0.67;0.36;2
282;esthetics;0;0;2;0;0;0;1;0;0;1;0;4;0;0.67;0.36;2
283;surrogate mothers;0;0;0;0;0;1;1;0;0;1;1;4;0;0.5;0.36;1
284;terminal care;1;0;0;0;0;0;2;1;0;0;0;4;0;0.67;0.36;2
285;decision support techniques;1;0;0;2;1;0;0;0;0;0;0;4;0;0.67;0.36;2
286;egypt;2;0;0;2;0;0;0;0;0;0;0;4;0;0.81;0.36;2
287;tissue banks;2;0;1;0;0;0;0;0;1;0;0;4;0;0.67;0.36;2
288;psychometrics;0;0;0;0;1;2;0;0;1;0;0;4;0;0.67;0.36;2
289;patient preference;0;1;0;1;0;0;1;0;0;0;1;4;0;0.5;0.36;1
290;life expectancy;0;2;0;0;0;2;0;0;0;0;0;4;0;0.81;0.36;2
291;england;0;0;1;0;0;0;0;0;1;2;0;4;0;0.67;0.36;2
292;codes of ethics;2;0;0;0;0;0;1;0;1;0;0;4;0;0.67;0.36;2
293;reconstructive surgical procedures;1;0;2;0;0;0;0;0;1;0;0;4;0;0.67;0.36;2
294;quality control;0;0;1;1;0;0;0;2;0;0;0;4;0;0.67;0.36;2
295;texas;2;0;0;0;2;0;0;0;0;0;0;4;0;0.81;0.36;2
296;romania;1;0;1;1;0;0;0;0;0;1;0;4;0;0.5;0.36;1
297;hungary;0;1;2;0;0;0;0;0;0;0;0;3;0;0.65;0.27;2
298;arabs;0;0;0;1;0;0;0;1;0;1;0;3;0;0.47;0.27;1
299;residence characteristics;0;0;0;1;0;0;0;0;0;2;0;3;0;0.65;0.27;2
300;professional role;0;0;0;0;0;1;0;0;1;1;0;3;0;0.47;0.27;1
301;intention;0;0;2;1;0;0;0;0;0;0;0;3;0;0.65;0.27;2
302;anesthesia;0;1;0;0;1;1;0;0;0;0;0;3;0;0.47;0.27;1
303;developed countries;1;0;0;0;2;0;0;0;0;0;0;3;0;0.65;0.27;2
304;universities;1;1;0;0;0;0;0;0;1;0;0;3;0;0.47;0.27;1
305;empathy;0;0;0;1;0;1;0;0;1;0;0;3;0;0.47;0.27;1
306;consciousness monitors;3;0;0;0;0;0;0;0;0;0;0;3;0;0.9;0.27;3
307;conscience;0;3;0;0;0;0;0;0;0;0;0;3;0;0.9;0.27;3
308;insurance coverage;0;1;0;0;1;0;0;0;0;0;1;3;0;0.47;0.27;1
309;prosthesis design;0;1;0;0;0;0;0;0;2;0;0;3;0;0.65;0.27;2
310;primates;0;0;0;0;2;1;0;0;0;0;0;3;0;0.65;0.27;2
311;cognition;0;0;0;0;1;1;0;0;1;0;0;3;0;0.47;0.27;1
312;freedom;0;0;0;0;2;0;1;0;0;0;0;3;0;0.65;0.27;2
313;north america;0;0;0;0;1;0;0;1;1;0;0;3;0;0.47;0.27;1
314;linear models;0;1;0;1;0;0;0;1;0;0;0;3;0;0.47;0.27;1
315;acute disease;0;0;0;0;1;2;0;0;0;0;0;3;0;0.65;0.27;2
316;stem cells;0;0;0;0;1;0;0;1;1;0;0;3;0;0.47;0.27;1
317;cluster analysis;0;0;0;1;0;1;0;0;0;1;0;3;0;0.47;0.27;1
318;persistent vegetative state;0;0;1;2;0;0;0;0;0;0;0;3;0;0.65;0.27;2
319;prejudice;0;0;2;0;0;0;0;0;0;0;1;3;0;0.65;0.27;2
