;keywords;df_2010;df_2011;df_2012;df_2013;df_2014;df_2015;df_2016;df_2017;df_2018;df_2019;df_2020;total;min;std;mean;max
12;health services and outcomes research;0.0;0.0;0.0;0.0;0.017241379310344827;0.025157232704402517;0.00975609756097561;0.010752688172043012;0.004149377593360996;0.0;0.0;0.06705677534112696;0.0;0.00887261381322928;0.006705677534112696;0.025157232704402517
13;bioethics;0.0;0.0;0.0;0.013513513513513514;0.0;0.018867924528301886;0.004878048780487805;0.005376344086021506;0.008298755186721992;0.01282051282051282;0.00641025641025641;0.06375509891555951;0.0;0.0068156493289628535;0.006375509891555951;0.018867924528301886
14;xenotransplantation;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.031446540880503145;0.00975609756097561;0.0;0.004149377593360996;0.0;0.0;0.06360302566515973;0.0;0.009857432790628456;0.006360302566515973;0.031446540880503145
15;organ transplantation in general;0.0;0.0;0.0;0.0;0.011494252873563218;0.025157232704402517;0.014634146341463415;0.005376344086021506;0.004149377593360996;0.0;0.02564102564102564;0.06081135359881165;0.0;0.008534132665035657;0.006081135359881165;0.025157232704402517
16;organ procurement;0.0;0.0;0.0;0.0;0.017241379310344827;0.012578616352201259;0.0;0.010752688172043012;0.004149377593360996;0.01282051282051282;0.02564102564102564;0.057542574248462916;0.0;0.00684409843964109;0.005754257424846291;0.017241379310344827
17;liver transplantation;0.0;0.0;0.0;0.0;0.011494252873563218;0.006289308176100629;0.01951219512195122;0.010752688172043012;0.008298755186721992;0.0;0.01282051282051282;0.056347199530380074;0.0;0.006826321247895059;0.005634719953038008;0.01951219512195122
18;living donors;0.0;0.0;0.0;0.006756756756756757;0.0;0.031446540880503145;0.00975609756097561;0.005376344086021506;0.0;0.0;0.0;0.05333573928425702;0.0;0.009855371361568848;0.005333573928425702;0.031446540880503145
19;autonomy;0.0;0.0;0.0;0.013513513513513514;0.011494252873563218;0.006289308176100629;0.004878048780487805;0.010752688172043012;0.004149377593360996;0.0;0.0;0.051077189109069165;0.0;0.005270814468469344;0.0051077189109069165;0.013513513513513514
20;altruism;0.0;0.0;0.0;0.0;0.017241379310344827;0.012578616352201259;0.0;0.0;0.004149377593360996;0.008547008547008548;0.0;0.04251638180291563;0.0;0.00636824733617976;0.004251638180291563;0.017241379310344827
21;kidney donation;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.0;0.016129032258064516;0.0;0.004273504273504274;0.0;0.03919572790120778;0.0;0.005196330257136511;0.003919572790120778;0.016129032258064516
22;dead donor rule;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.012578616352201259;0.00975609756097561;0.0;0.004149377593360996;0.0;0.00641025641025641;0.03898797470007623;0.0;0.004682086078239285;0.003898797470007623;0.012578616352201259
23;donors and donation;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.00975609756097561;0.010752688172043012;0.004149377593360996;0.0;0.00641025641025641;0.03723677967858087;0.0;0.005244922308602671;0.003723677967858087;0.012578616352201259
24;death;0.0;0.0;0.0;0.0;0.011494252873563218;0.006289308176100629;0.004878048780487805;0.005376344086021506;0.0;0.008547008547008548;0.00641025641025641;0.0365849624631817;0.0;0.0042632680389956355;0.00365849624631817;0.011494252873563218
25;social sciences;0.0;0.0;0.0;0.0;0.005747126436781609;0.025157232704402517;0.004878048780487805;0.0;0.0;0.0;0.00641025641025641;0.03578240792167193;0.0;0.007899881207695744;0.003578240792167193;0.025157232704402517
26;intensive care;0.0;0.0;0.0;0.0;0.011494252873563218;0.006289308176100629;0.004878048780487805;0.0;0.0;0.01282051282051282;0.0;0.03548212265066447;0.0;0.005098322736846948;0.0035482122650664473;0.01282051282051282
27;renal transplantation;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.0;0.016129032258064516;0.0;0.0;0.0;0.03492222362770351;0.0;0.005337791186495389;0.0034922223627703508;0.016129032258064516
28;living donation;0.0;0.0;0.0;0.013513513513513514;0.005747126436781609;0.0;0.00975609756097561;0.005376344086021506;0.0;0.0;0.00641025641025641;0.03439308159729224;0.0;0.004960316062230969;0.003439308159729224;0.013513513513513514
29;kidneys;0.0;0.0;0.0;0.0;0.005747126436781609;0.018867924528301886;0.0;0.005376344086021506;0.004149377593360996;0.0;0.0;0.034140772644465994;0.0;0.005949707861675255;0.0034140772644465993;0.018867924528301886
30;policy;0.0;0.0;0.0;0.006756756756756757;0.017241379310344827;0.0;0.0;0.005376344086021506;0.0;0.004273504273504274;0.0;0.033647984426627364;0.0;0.005546451831803691;0.0033647984426627363;0.017241379310344827
31;health policy;0.0;0.0;0.0;0.006756756756756757;0.017241379310344827;0.0;0.0;0.005376344086021506;0.0;0.004273504273504274;0.0;0.033647984426627364;0.0;0.005546451831803691;0.0033647984426627363;0.017241379310344827
32;allocation;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.0;0.00975609756097561;0.005376344086021506;0.0;0.0;0.0;0.033383451277317094;0.0;0.004599669606775719;0.0033383451277317093;0.011494252873563218
33;heart transplant;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.0;0.0;0.010752688172043012;0.0;0.004273504273504274;0.0;0.03327720207586726;0.0;0.004724846086763473;0.003327720207586726;0.011494252873563218
34;transplant surgery;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.00975609756097561;0.010752688172043012;0.0;0.0;0.0;0.033087402085219875;0.0;0.0053701408444744156;0.0033087402085219876;0.012578616352201259
35;disparities;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.00975609756097561;0.005376344086021506;0.0;0.004273504273504274;0.0;0.03144238053338363;0.0;0.0035912220819960144;0.003144238053338363;0.00975609756097561
36;quality of life;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.004878048780487805;0.005376344086021506;0.004149377593360996;0.004273504273504274;0.0;0.03125589108557584;0.0;0.004064878369160079;0.0031255891085575837;0.012578616352201259
37;heart transplantation;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.0;0.005376344086021506;0.008298755186721992;0.004273504273504274;0.0;0.029985038159130006;0.0;0.0033117947539392342;0.002998503815913001;0.008298755186721992
38;qualitative research;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.012578616352201259;0.004878048780487805;0.0;0.0;0.0;0.0;0.02996054832622743;0.0;0.004358092444460774;0.002996054832622743;0.012578616352201259
39;presumed consent;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.0;0.0;0.0;0.004149377593360996;0.01282051282051282;0.0;0.02947377360741218;0.0;0.004389327643746987;0.0029473773607412183;0.01282051282051282
40;education;0.0;0.0;0.0;0.0;0.011494252873563218;0.012578616352201259;0.004878048780487805;0.0;0.0;0.0;0.0;0.028950918006252283;0.0;0.005058757346551792;0.0028950918006252283;0.012578616352201259
41;distributive justice;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.00975609756097561;0.0;0.0;0.0;0.0;0.028549288930614605;0.0;0.0038284588030404504;0.0028549288930614604;0.00975609756097561
42;pediatric;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.0;0.005376344086021506;0.0;0.004273504273504274;0.0;0.028443039729164774;0.0;0.0030642360854754923;0.0028443039729164773;0.006756756756756757
43;clinical ethics;0.0;0.0;0.0;0.0;0.017241379310344827;0.006289308176100629;0.004878048780487805;0.0;0.0;0.0;0.0;0.02840873626693326;0.0;0.005576839887064223;0.002840873626693326;0.017241379310344827
44;nephrology;0.0;0.0;0.0;0.0;0.005747126436781609;0.012578616352201259;0.0;0.005376344086021506;0.004149377593360996;0.0;0.0;0.027851464468365367;0.0;0.004213774429133073;0.0027851464468365366;0.012578616352201259
45;epidemiology;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.004878048780487805;0.0;0.0;0.008547008547008548;0.0;0.026003673679697612;0.0;0.004563736284367847;0.002600367367969761;0.012578616352201259
46;graft survival;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.00975609756097561;0.005376344086021506;0.004149377593360996;0.0;0.0;0.02502894567713972;0.0;0.003522759333128442;0.002502894567713972;0.00975609756097561
47;donation;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.00975609756097561;0.0;0.004149377593360996;0.004273504273504274;0.0;0.023926105864622488;0.0;0.003439076440995002;0.002392610586462249;0.00975609756097561
48;transplant;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.004878048780487805;0.0;0.012448132780082987;0.0;0.0;0.02361548973667142;0.0;0.004249674907815865;0.0023615489736671423;0.012448132780082987
49;outcomes;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.02312905841080778;0.0;0.004056156316831616;0.002312905841080778;0.011494252873563218
50;public policy;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.0;0.02294256896299999;0.0;0.0030335129769951835;0.002294256896299999;0.006756756756756757
51;regulation;0.0;0.0;0.0;0.006756756756756757;0.0;0.006289308176100629;0.0;0.005376344086021506;0.0;0.004273504273504274;0.0;0.022695913292383164;0.0;0.0029975290878648804;0.0022695913292383164;0.006756756756756757
52;heart failure;0.0;0.0;0.0;0.0;0.005747126436781609;0.012578616352201259;0.0;0.0;0.0;0.004273504273504274;0.0;0.022599247062487143;0.0;0.004195782189198324;0.0022599247062487144;0.012578616352201259
53;kidney transplant;0.0;0.0;0.0;0.006756756756756757;0.0;0.006289308176100629;0.0;0.005376344086021506;0.004149377593360996;0.0;0.0;0.022571786612239887;0.0;0.002988552497274295;0.0022571786612239886;0.006756756756756757
54;consent;0.0;0.0;0.0;0.006756756756756757;0.011494252873563218;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.022524513903824248;0.0;0.004018002227568329;0.0022524513903824247;0.011494252873563218
55;disclosure;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.00975609756097561;0.0;0.0;0.0;0.0;0.022334713913176867;0.0;0.004755337169922205;0.0022334713913176865;0.012578616352201259
56;transplant ethics;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.0;0.0;0.005376344086021506;0.0;0.004273504273504274;0.00641025641025641;0.022153731553064146;0.0;0.0029206611976812314;0.0022153731553064145;0.006756756756756757
57;lung transplantation;0.0;0.0;0.0;0.0;0.011494252873563218;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.0;0.02193293864302484;0.0;0.003955097991703585;0.002193293864302484;0.011494252873563218
58;survey;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.004878048780487805;0.0;0.0;0.004273504273504274;0.0;0.021730169406193336;0.0;0.004123910789181613;0.0021730169406193336;0.012578616352201259
59;pregnancy;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.004273504273504274;0.0;0.021655436247530448;0.0;0.0028644493541754323;0.0021655436247530447;0.006756756756756757
60;living donor;0.0;0.006329113924050633;0.0;0.0;0.005747126436781609;0.0;0.0;0.005376344086021506;0.004149377593360996;0.0;0.00641025641025641;0.021601962040214744;0.0;0.002839113302284174;0.0021601962040214743;0.006329113924050633
61;kidney;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.004878048780487805;0.0;0.0;0.004273504273504274;0.0;0.021187987666874318;0.0;0.0027838817056133115;0.0021187987666874317;0.006289308176100629
62;paternalism;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.005376344086021506;0.004149377593360996;0.0;0.0;0.02101997455294572;0.0;0.0038594231901261625;0.002101997455294572;0.011494252873563218
63;transplant medicine;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.016129032258064516;0.0;0.0;0.0;0.02100708103855232;0.0;0.005161947265115212;0.0021007081038552323;0.016129032258064516
64;pediatrics;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.004878048780487805;0.005376344086021506;0.0;0.004273504273504274;0.0;0.02081720531611421;0.0;0.0027321759343956584;0.002081720531611421;0.006289308176100629
65;survival;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.0;0.005376344086021506;0.0;0.008547008547008548;0.0;0.01967047906981166;0.0;0.0032709685692756;0.001967047906981166;0.008547008547008548
66;donor;0.0;0.0;0.0;0.0;0.0;0.0;0.014634146341463415;0.0;0.0;0.004273504273504274;0.0;0.01890765061496769;0.0;0.0046746497520759964;0.001890765061496769;0.014634146341463415
67;transplant waiting list;0.0;0.0;0.0;0.0;0.0;0.018867924528301886;0.0;0.0;0.0;0.0;0.0;0.018867924528301886;0.0;0.0059665616229592055;0.0018867924528301887;0.018867924528301886
68;donation after circulatory death;0.0;0.0;0.0;0.0;0.0;0.0;0.014634146341463415;0.0;0.004149377593360996;0.0;0.00641025641025641;0.018783523934824412;0.0;0.004667779586515784;0.0018783523934824413;0.014634146341463415
69;ethical;0.0;0.0;0.005319148936170213;0.0;0.0;0.0;0.004878048780487805;0.0;0.008298755186721992;0.0;0.0;0.01849595290338001;0.0;0.0031046204917244678;0.001849595290338001;0.008298755186721992
70;human rights;0.0;0.0;0.0;0.006756756756756757;0.0;0.006289308176100629;0.0;0.005376344086021506;0.0;0.0;0.00641025641025641;0.018422409018878892;0.0;0.002984696514059599;0.0018422409018878892;0.006756756756756757
71;clinical trial design;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.004878048780487805;0.0;0.0;0.0;0.0;0.017456665132689064;0.0;0.004103432621127494;0.0017456665132689064;0.012578616352201259
72;uterus transplantation;0.0;0.0;0.0;0.006756756756756757;0.0;0.006289308176100629;0.0;0.0;0.0;0.004273504273504274;0.00641025641025641;0.01731956920636166;0.0;0.002857256847440459;0.001731956920636166;0.006756756756756757
73;family;0.0;0.0;0.0;0.006756756756756757;0.0;0.006289308176100629;0.0;0.0;0.004149377593360996;0.0;0.00641025641025641;0.017195442526218383;0.0;0.0028452332309980934;0.0017195442526218383;0.006756756756756757
74;motivation;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.004878048780487805;0.005376344086021506;0.0;0.0;0.0;0.016543701042609937;0.0;0.0026850704222372078;0.0016543701042609938;0.006289308176100629
75;intellectual disability;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.005376344086021506;0.0;0.0;0.0;0.01600151930329092;0.0;0.002584677841844809;0.001600151930329092;0.005747126436781609
76;immunosuppression;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.005376344086021506;0.0;0.0;0.0;0.01600151930329092;0.0;0.002584677841844809;0.001600151930329092;0.005747126436781609
77;definition of death;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.004273504273504274;0.0;0.01576775714706749;0.0;0.003734500879221952;0.001576775714706749;0.011494252873563218
78;internet;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.010752688172043012;0.0;0.0;0.0;0.015630736952530817;0.0;0.0035743479446076905;0.0015630736952530818;0.010752688172043012
79;transplant tourism;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.00975609756097561;0.0;0.0;0.0;0.0;0.015503223997757219;0.0;0.00340221996916335;0.0015503223997757219;0.00975609756097561
80;legal;0.0;0.0;0.005319148936170213;0.0;0.0;0.0;0.00975609756097561;0.0;0.0;0.0;0.0;0.015075246497145822;0.0;0.0033457847332205304;0.0015075246497145822;0.00975609756097561
81;harm;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010752688172043012;0.004149377593360996;0.0;0.0;0.014902065765404007;0.0;0.0035060341782234264;0.0014902065765404007;0.010752688172043012
82;justice;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.004273504273504274;0.0;0.014898679490773689;0.0;0.0024241973678347387;0.001489867949077369;0.005747126436781609
83;critical care;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.0;0.004273504273504274;0.0;0.014898679490773689;0.0;0.0024241973678347387;0.001489867949077369;0.005747126436781609
84;research ethics;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.0;0.008547008547008548;0.0;0.014836316723109177;0.0;0.003172715679486975;0.0014836316723109177;0.008547008547008548
85;organ shortage;0.0;0.0;0.0;0.0;0.005747126436781609;0.0;0.004878048780487805;0.0;0.004149377593360996;0.0;0.0;0.01477455281063041;0.0;0.002408628367673377;0.001477455281063041;0.005747126436781609
86;disability;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.0;0.004149377593360996;0.004273504273504274;0.0;0.0147121900429659;0.0;0.0024356317212920644;0.00147121900429659;0.006289308176100629
87;economics;0.0;0.0;0.0;0.0;0.0;0.0;0.014634146341463415;0.0;0.0;0.0;0.0;0.014634146341463415;0.0;0.0046277234051244585;0.0014634146341463415;0.014634146341463415
88;recipient;0.0;0.0;0.0;0.0;0.0;0.0;0.014634146341463415;0.0;0.0;0.0;0.0;0.014634146341463415;0.0;0.0046277234051244585;0.0014634146341463415;0.014634146341463415
89;organ preservation;0.0;0.0;0.0;0.0;0.0;0.0;0.00975609756097561;0.0;0.0;0.004273504273504274;0.0;0.014029601834479884;0.0;0.003227680722740047;0.0014029601834479883;0.00975609756097561
90;china;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005376344086021506;0.0;0.008547008547008548;0.0;0.013923352633030054;0.0;0.0030289429028690132;0.0013923352633030055;0.008547008547008548
91;best interests;0.0;0.0;0.0;0.013513513513513514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013513513513513514;0.0;0.0042733481894167286;0.0013513513513513514;0.013513513513513514
92;liver;0.0;0.0;0.0;0.013513513513513514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013513513513513514;0.0;0.0042733481894167286;0.0013513513513513514;0.013513513513513514
93;organ donation and transplantation;0.0;0.0;0.0;0.013513513513513514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013513513513513514;0.0;0.0042733481894167286;0.0013513513513513514;0.013513513513513514
94;ethique;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.0;0.004149377593360996;0.004273504273504274;0.0;0.013300930647353075;0.0;0.002149523396378176;0.0013300930647353075;0.004878048780487805
95;organ failure;0.0;0.0;0.0;0.0;0.0;0.0;0.004878048780487805;0.0;0.008298755186721992;0.0;0.0;0.013176803967209796;0.0;0.0028925552193891004;0.0013176803967209795;0.008298755186721992
96;killing;0.0;0.0;0.0;0.006756756756756757;0.0;0.006289308176100629;0.0;0.0;0.0;0.0;0.0;0.013046064932857386;0.0;0.002752557965495433;0.0013046064932857387;0.006756756756756757
97;financial incentives;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.003977707748639471;0.001257861635220126;0.012578616352201259
98;theology;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.003977707748639471;0.001257861635220126;0.012578616352201259
99;altruistic organ donation;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.003977707748639471;0.001257861635220126;0.012578616352201259
100;privacy;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.003977707748639471;0.001257861635220126;0.012578616352201259
101;titmuss;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.0;0.0;0.0;0.0;0.012578616352201259;0.0;0.003977707748639471;0.001257861635220126;0.012578616352201259
102;transplantation ethics;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.008298755186721992;0.004273504273504274;0.00641025641025641;0.012572259460226266;0.0;0.0028151574976915308;0.0012572259460226266;0.008298755186721992
103;cystic fibrosis;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.0;0.0;0.0;0.0;0.0;0.0;0.012503883193538366;0.0;0.0026467698270946343;0.0012503883193538366;0.006756756756756757
104;emergency medicine;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.0;0.0;0.0;0.0;0.0;0.0;0.012503883193538366;0.0;0.0026467698270946343;0.0012503883193538366;0.006756756756756757
105;law;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.0;0.0;0.0;0.0;0.0;0.00641025641025641;0.012503883193538366;0.0;0.0026467698270946343;0.0012503883193538366;0.006756756756756757
106;circulatory death;0.0;0.0;0.0;0.006756756756756757;0.005747126436781609;0.0;0.0;0.0;0.0;0.0;0.0;0.012503883193538366;0.0;0.0026467698270946343;0.0012503883193538366;0.006756756756756757
107;safety;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.0;0.0;0.0;0.0;0.0;0.012036434612882238;0.0;0.0025407191413128454;0.0012036434612882239;0.006289308176100629
108;pediatric transplantation;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.0;0.0;0.0;0.0;0.0;0.012036434612882238;0.0;0.0025407191413128454;0.0012036434612882239;0.006289308176100629
109;clinical trial;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.0;0.0;0.0;0.0;0.00641025641025641;0.012036434612882238;0.0;0.0025407191413128454;0.0012036434612882239;0.006289308176100629
110;islet transplantation;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.0;0.0;0.0;0.0;0.0;0.012036434612882238;0.0;0.0025407191413128454;0.0012036434612882239;0.006289308176100629
111;systematic review;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.0;0.0;0.0;0.0;0.0;0.012036434612882238;0.0;0.0025407191413128454;0.0012036434612882239;0.006289308176100629
112;decision making;0.0;0.0;0.0;0.0;0.005747126436781609;0.006289308176100629;0.0;0.0;0.0;0.0;0.0;0.012036434612882238;0.0;0.0025407191413128454;0.0012036434612882239;0.006289308176100629
113;burden of proof;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.005376344086021506;0.0;0.0;0.0;0.011665652262122135;0.0;0.002468731766069127;0.0011665652262122135;0.006289308176100629
114;functional status;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.005376344086021506;0.0;0.0;0.0;0.011665652262122135;0.0;0.002468731766069127;0.0011665652262122135;0.006289308176100629
115;infection and infectious agents;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.0;0.005376344086021506;0.0;0.0;0.00641025641025641;0.011665652262122135;0.0;0.002468731766069127;0.0011665652262122135;0.006289308176100629
116;tissue engineering;0.0;0.0;0.0;0.006756756756756757;0.0;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.011634805537244563;0.0;0.0024924831836242475;0.0011634805537244562;0.006756756756756757
117;muslim;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0036348019082395166;0.0011494252873563218;0.011494252873563218
118;fertility preservation;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0036348019082395166;0.0011494252873563218;0.011494252873563218
119;religion;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.02564102564102564;0.011494252873563218;0.0;0.0036348019082395166;0.0011494252873563218;0.011494252873563218
120;renal transplant;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0036348019082395166;0.0011494252873563218;0.011494252873563218
121;patient survival;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0036348019082395166;0.0011494252873563218;0.011494252873563218
122;resuscitation;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0;0.0;0.0;0.0;0.0;0.011494252873563218;0.0;0.0036348019082395166;0.0011494252873563218;0.011494252873563218
123;induced pluripotent stem cells;0.0;0.006329113924050633;0.0;0.0;0.0;0.0;0.004878048780487805;0.0;0.0;0.0;0.0;0.011207162704538438;0.0;0.002387304230015066;0.0011207162704538437;0.006329113924050633
124;personal viewpoint;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.004878048780487805;0.0;0.0;0.0;0.0;0.011167356956588433;0.0;0.0023776685849611024;0.0011167356956588432;0.006289308176100629
125;liver disease;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.004878048780487805;0.0;0.0;0.0;0.0;0.011167356956588433;0.0;0.0023776685849611024;0.0011167356956588432;0.006289308176100629
126;payment;0.0;0.0;0.0;0.0;0.0;0.006289308176100629;0.004878048780487805;0.0;0.0;0.0;0.0;0.011167356956588433;0.0;0.0023776685849611024;0.0011167356956588432;0.006289308176100629
