;keywords;df_2021;df_2022;total;min;std;mean;max
66;simulator;1;0;1;0;0.71;0.5;1
67;population density;1;0;1;0;0.71;0.5;1
68;xianmao;1;0;1;0;0.71;0.5;1
69;system management;1;0;1;0;0.71;0.5;1
70;system diagnostics;1;0;1;0;0.71;0.5;1
71;control interface;1;0;1;0;0.71;0.5;1
72;wishbone;1;0;1;0;0.71;0.5;1
73;vhdl;1;0;1;0;0.71;0.5;1
74;fpga;1;0;1;0;0.71;0.5;1
75;research data management;1;0;1;0;0.71;0.5;1
76;enzymology;1;0;1;0;0.71;0.5;1
77;data exchange;1;0;1;0;0.71;0.5;1
78;bioinformatics;1;0;1;0;0.71;0.5;1
79;biocatalysis;1;0;1;0;0.71;0.5;1
80;systems biology markup language;1;0;1;0;0.71;0.5;1
81;fair data principles;1;0;1;0;0.71;0.5;1
82;traditional chinese medicine injection;1;0;1;0;0.71;0.5;1
83;traditional chinese medicine;1;0;1;0;0.71;0.5;1
84;randomized controlled trial;1;0;1;0;0.71;0.5;1
85;heart failure;1;0;1;0;0.71;0.5;1
86;bayesian model;1;0;1;0;0.71;0.5;1
87;mapping scheme;1;0;1;0;0.71;0.5;1
88;dynamic updates;1;0;1;0;0.71;0.5;1
89;xml databases;1;0;1;0;0.71;0.5;1
90;regulatory framework;1;0;1;0;0.71;0.5;1
91;precision medicine;1;0;1;0;0.71;0.5;1
92;policy note;1;0;1;0;0.71;0.5;1
93;pharmacogenomics;1;0;1;0;0.71;0.5;1
94;iran;1;0;1;0;0.71;0.5;1
95;kidney energy metabolism;1;0;1;0;0.71;0.5;1
96;metabolomics;1;0;1;0;0.71;0.5;1
97;bioinformatics analysis;1;0;1;0;0.71;0.5;1
98;inflammation;1;0;1;0;0.71;0.5;1
99;dynamic challenges;1;0;1;0;0.71;0.5;1
100;network;1;0;1;0;0.71;0.5;1
101;dynamical systems;1;0;1;0;0.71;0.5;1
102;gpu;1;0;1;0;0.71;0.5;1
103;spark;1;0;1;0;0.71;0.5;1
104;performance management;1;0;1;0;0.71;0.5;1
105;mobile network;1;0;1;0;0.71;0.5;1
106;hive;1;0;1;0;0.71;0.5;1
107;complex xsd;1;0;1;0;0.71;0.5;1
108;mitochondrial dysfunction;1;0;1;0;0.71;0.5;1
109;liver injury;1;0;1;0;0.71;0.5;1
110;lipopolysaccharide;1;0;1;0;0.71;0.5;1
111;open source;1;0;1;0;0.71;0.5;1
112;colorectal cancer;1;0;1;0;0.71;0.5;1
113;medical oncology;1;0;1;0;0.71;0.5;1
114;fhir;1;0;1;0;0.71;0.5;1
115;data management;1;0;1;0;0.71;0.5;1
116;temporal bone;1;0;1;0;0.71;0.5;1
117;computed tomography;1;0;1;0;0.71;0.5;1
118;cholesteatoma;1;0;1;0;0.71;0.5;1
119;histogram analysis;1;0;1;0;0.71;0.5;1
120;text mining;1;0;1;0;0.71;0.5;1
121;text extraction;1;0;1;0;0.71;0.5;1
122;pubmed central;1;0;1;0;0.71;0.5;1
123;lncrnas;1;0;1;0;0.71;0.5;1
124;immune cell infiltration;1;0;1;0;0.71;0.5;1
125;web service;0;1;1;0;0.71;0.5;1
