;lemmas;df_2021;df_2022;total;min;std;mean;max
31;report;0.4634146341463415;0.2;0.4634146341463415;0.4634146341463415;;0.4634146341463415;0.4634146341463415
32;code;0.4634146341463415;0.0;0.4634146341463415;0.4634146341463415;;0.4634146341463415;0.4634146341463415
33;new;0.4634146341463415;0.5;0.4634146341463415;0.4634146341463415;;0.4634146341463415;0.4634146341463415
34;solution;0.43902439024390244;0.1;0.43902439024390244;0.43902439024390244;;0.43902439024390244;0.43902439024390244
35;structure;0.43902439024390244;0.3;0.43902439024390244;0.43902439024390244;;0.43902439024390244;0.43902439024390244
36;paper;0.43902439024390244;0.3;0.43902439024390244;0.43902439024390244;;0.43902439024390244;0.43902439024390244
37;ct;0.43902439024390244;0.0;0.43902439024390244;0.43902439024390244;;0.43902439024390244;0.43902439024390244
38;tumor;0.4146341463414634;0.1;0.4146341463414634;0.4146341463414634;;0.4146341463414634;0.4146341463414634
39;conclusion;0.4146341463414634;0.5;0.4146341463414634;0.4146341463414634;;0.4146341463414634;0.4146341463414634
40;resource;0.4146341463414634;0.1;0.4146341463414634;0.4146341463414634;;0.4146341463414634;0.4146341463414634
41;induce;0.4146341463414634;0.0;0.4146341463414634;0.4146341463414634;;0.4146341463414634;0.4146341463414634
42;scientific;0.4146341463414634;0.1;0.4146341463414634;0.4146341463414634;;0.4146341463414634;0.4146341463414634
43;health;0.4146341463414634;0.1;0.4146341463414634;0.4146341463414634;;0.4146341463414634;0.4146341463414634
44;open;0.4146341463414634;0.8;0.4146341463414634;0.4146341463414634;;0.4146341463414634;0.4146341463414634
45;perform;0.4146341463414634;0.3;0.4146341463414634;0.4146341463414634;;0.4146341463414634;0.4146341463414634
46;tool;0.4146341463414634;1.5;0.4146341463414634;0.4146341463414634;;0.4146341463414634;0.4146341463414634
47;extract;0.3902439024390244;0.2;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
48;conduct;0.3902439024390244;0.1;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
49;1;0.3902439024390244;0.0;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
50;network;0.3902439024390244;0.1;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
51;trial;0.3902439024390244;0.0;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
52;relate;0.3902439024390244;0.1;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
53;value;0.3902439024390244;0.3;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
54;expression;0.3902439024390244;0.5;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
55;support;0.3902439024390244;0.6;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
56;increase;0.3902439024390244;0.6;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
57;high;0.3902439024390244;0.6;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
58;develope;0.3902439024390244;1.0;0.3902439024390244;0.3902439024390244;;0.3902439024390244;0.3902439024390244
59;group;0.36585365853658536;0.1;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
60;drug;0.36585365853658536;0.1;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
61;publication;0.36585365853658536;0.1;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
62;sdc;0.36585365853658536;0.0;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
63;validation;0.36585365853658536;0.0;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
64;cocaine;0.36585365853658536;0.0;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
65;implementation;0.36585365853658536;0.0;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
66;propose;0.36585365853658536;0.2;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
67;exchange;0.36585365853658536;0.3;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
68;target;0.36585365853658536;0.6;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
69;type;0.36585365853658536;0.4;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
70;effect;0.36585365853658536;0.4;0.36585365853658536;0.36585365853658536;;0.36585365853658536;0.36585365853658536
71;application;0.34146341463414637;0.3;0.34146341463414637;0.34146341463414637;;0.34146341463414637;0.34146341463414637
72;software;0.34146341463414637;0.5;0.34146341463414637;0.34146341463414637;;0.34146341463414637;0.34146341463414637
73;element;0.34146341463414637;0.0;0.34146341463414637;0.34146341463414637;;0.34146341463414637;0.34146341463414637
74;covid-19;0.34146341463414637;0.0;0.34146341463414637;0.34146341463414637;;0.34146341463414637;0.34146341463414637
75;present;0.34146341463414637;0.8;0.34146341463414637;0.34146341463414637;;0.34146341463414637;0.34146341463414637
76;language;0.34146341463414637;0.7;0.34146341463414637;0.34146341463414637;;0.34146341463414637;0.34146341463414637
77;case;0.34146341463414637;0.0;0.34146341463414637;0.34146341463414637;;0.34146341463414637;0.34146341463414637
78;document;0.34146341463414637;0.3;0.34146341463414637;0.34146341463414637;;0.34146341463414637;0.34146341463414637
79;large;0.3170731707317073;0.2;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
80;review;0.3170731707317073;0.2;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
81;collection;0.3170731707317073;0.0;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
82;population;0.3170731707317073;0.0;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
83;dataset;0.3170731707317073;0.0;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
84;framework;0.3170731707317073;0.0;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
85;management;0.3170731707317073;0.0;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
86;design;0.3170731707317073;0.6;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
87;test;0.3170731707317073;0.0;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
88;update;0.3170731707317073;0.1;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
89;level;0.3170731707317073;0.2;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
90;rdf;0.3170731707317073;0.0;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
91;mechanism;0.3170731707317073;0.3;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
92;approach;0.3170731707317073;0.3;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
93;molecular;0.3170731707317073;0.3;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
94;database;0.3170731707317073;0.3;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
95;content;0.3170731707317073;0.2;0.3170731707317073;0.3170731707317073;;0.3170731707317073;0.3170731707317073
96;complex;0.2926829268292683;0.2;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
97;specific;0.2926829268292683;0.0;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
98;search;0.2926829268292683;0.4;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
99;challenge;0.2926829268292683;0.1;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
100;capture;0.2926829268292683;0.0;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
101;text;0.2926829268292683;0.4;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
102;potential;0.2926829268292683;0.4;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
103;follow;0.2926829268292683;0.2;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
104;gap;0.2926829268292683;0.5;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
105;protein;0.2926829268292683;0.1;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
106;development;0.2926829268292683;0.3;0.2926829268292683;0.2926829268292683;;0.2926829268292683;0.2926829268292683
107;metabolism;0.2682926829268293;0.1;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
108;analyze;0.2682926829268293;0.2;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
109;implement;0.2682926829268293;0.0;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
110;cdisc;0.2682926829268293;0.0;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
111;facilitate;0.2682926829268293;0.0;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
112;pathway;0.2682926829268293;0.1;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
113;map;0.2682926829268293;0.0;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
114;find;0.2682926829268293;0.1;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
115;function;0.2682926829268293;0.3;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
116;allow;0.2682926829268293;0.2;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
117;compare;0.2682926829268293;0.4;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
118;information;0.2682926829268293;1.0;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
119;need;0.2682926829268293;0.6;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
120;different;0.2682926829268293;1.1;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
121;medicine;0.2682926829268293;0.3;0.2682926829268293;0.2682926829268293;;0.2682926829268293;0.2682926829268293
122;kidney;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
123;rate;0.24390243902439024;0.1;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
124;dox;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
125;live;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
126;query;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
127;ecgs;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
128;improve;0.24390243902439024;0.2;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
129;stress;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
130;r;0.24390243902439024;0.1;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
131;significant;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
132;statistical;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
133;schema;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
134;oxidative;0.24390243902439024;0.0;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
135;demonstrate;0.24390243902439024;0.1;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
136;label;0.24390243902439024;0.1;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
137;medical;0.24390243902439024;0.3;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
138;component;0.24390243902439024;0.2;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
139;image;0.24390243902439024;0.2;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
140;gene;0.24390243902439024;0.2;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
141;work;0.24390243902439024;0.3;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
142;create;0.24390243902439024;0.2;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
143;aim;0.24390243902439024;0.2;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
144;pubmed;0.24390243902439024;0.3;0.24390243902439024;0.24390243902439024;;0.24390243902439024;0.24390243902439024
145;effective;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
146;cancer;0.21951219512195122;0.4;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
147;healthcare;0.21951219512195122;0.1;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
148;ord;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
149;terminology;0.21951219512195122;0.1;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
150;common;0.21951219512195122;0.1;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
151;injection;0.21951219512195122;0.5;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
152;source;0.21951219512195122;1.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
153;domain;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
154;p;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
155;antibody;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
156;risk;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
157;mobile;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
158;compliant;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
159;community;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
160;integration;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
161;meta;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
162;tcmis;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
163;yield;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
164;transformation;0.21951219512195122;0.0;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
165;access;0.21951219512195122;0.1;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
166;available;0.21951219512195122;0.2;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
167;interoperability;0.21951219512195122;0.3;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
168;representation;0.21951219512195122;0.2;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
169;compound;0.21951219512195122;0.1;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
170;general;0.21951219512195122;0.2;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
171;evaluate;0.21951219512195122;0.4;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
172;significantly;0.21951219512195122;0.2;0.21951219512195122;0.21951219512195122;;0.21951219512195122;0.21951219512195122
173;project;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
174;detect;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
175;brugada;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
176;real;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
177;xylitol;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
178;response;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
179;ctims;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
180;extraction;0.1951219512195122;0.1;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
181;professional;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
182;multiple;0.1951219512195122;0.1;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
183;exist;0.1951219512195122;0.1;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
184;apache;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
185;issue;0.1951219512195122;0.1;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
186;jatsdecoder;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
187;input;0.1951219512195122;0.1;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
188;produce;0.1951219512195122;0.1;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
189;efficacy;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
190;tissue;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
191;package;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
192;m6a;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
193;error;0.1951219512195122;0.3;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
194;set;0.1951219512195122;0.5;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
195;miind;0.1951219512195122;0.0;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
196;quality;0.1951219512195122;0.3;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
197;chinese;0.1951219512195122;0.1;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
198;show;0.1951219512195122;0.3;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
199;easy;0.1951219512195122;0.1;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
200;web;0.1951219512195122;0.6;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
201;parameter;0.1951219512195122;0.6;0.1951219512195122;0.1951219512195122;;0.1951219512195122;0.1951219512195122
202;write;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
203;mean;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
204;numb;0.17073170731707318;0.1;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
205;redcap;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
206;lps;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
207;require;0.17073170731707318;0.1;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
208;basis;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
209;safety;0.17073170731707318;0.1;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
210;pseudonymization;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
211;electronic;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
212;country;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
213;substitution;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
214;site;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
215;speed;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
216;covid;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
217;scale;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
218;2;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
219;syndrome;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
220;neuron;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
221;compute;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
222;get.stats;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
223;maximum;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
224;conjugate;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
225;treat;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
226;active;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
227;ophthalmology;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
228;enzymeml;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
229;rct;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
230;dysfunction;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
231;energy;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
232;disease;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
233;human;0.17073170731707318;0.5;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
234;total;0.17073170731707318;0.1;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
235;share;0.17073170731707318;0.5;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
236;record;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
237;markup;0.17073170731707318;0.4;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
238;algorithm;0.17073170731707318;0.4;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
239;main;0.17073170731707318;0.3;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
240;researcher;0.17073170731707318;0.3;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
241;performance;0.17073170731707318;0.3;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
242;reduce;0.17073170731707318;0.3;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
243;x;0.17073170731707318;0.3;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
244;ecg;0.17073170731707318;0.2;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
245;original;0.17073170731707318;0.2;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
246;automate;0.17073170731707318;0.2;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
247;technique;0.17073170731707318;0.2;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
248;simulation;0.17073170731707318;0.0;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
249;simple;0.17073170731707318;0.1;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
250;literature;0.17073170731707318;0.1;0.17073170731707318;0.17073170731707318;;0.17073170731707318;0.17073170731707318
251;name;0.14634146341463414;0.0;0.14634146341463414;0.14634146341463414;;0.14634146341463414;0.14634146341463414
252;bayesian;0.14634146341463414;0.0;0.14634146341463414;0.14634146341463414;;0.14634146341463414;0.14634146341463414
253;gekid;0.14634146341463414;0.0;0.14634146341463414;0.14634146341463414;;0.14634146341463414;0.14634146341463414
